NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
63,서울,폐가스,자가용,-,-,-,-,-,MWh
64,서울,산업폐기물,사업용,-,-,-,-,-,MWh
65,서울,산업폐기물,자가용,-,-,-,-,-,MWh
66,서울,생활폐기물,사업용,"67,880 ","80,411 ","79,040 ","75,904 ","89,559 ",MWh
67,서울,생활폐기물,자가용,"32,225 ","43,564 ","38,901 ","45,399 ","46,029 ",MWh
68,서울,SRF,사업용,-,-,-,-,-,MWh
69,서울,SRF,자가용,-,-,-,-,-,MWh
70,서울,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
71,서울,정제연료유,사업용,-,-,-,-,-,MWh
72,서울,연료전지,사업용,"275,523 ","316,023 ","321,915 ","175,634 ","170,400 ",MWh
73,서울,연료전지,자가용,"5,382 ","4,885 ","4,894 ","4,687 ","4,397 ",MWh
74,서울,IGCC,사업용,-,-,-,-,-,MWh
75,부산,신재생에너지 총발전량,사업용,"471,595 ","502,330 ","412,686 ","236,652 ","239,933 ",MWh
76,부산,신재생에너지 총발전량,자가용,"46,663 ","40,921 ","33,058 ","25,966 ","25,495 ",MWh
77,부산,태양광,사업용,"116,829 ","98,890 ","90,945 ","78,672 ","77,165 ",MWh
78,부산,태양광,자가용,"40,846 ","32,859 ","26,569 ","18,855 ","14,212 ",MWh
79,부산,풍력,사업용,239 ,401 ,298 ,444 ,404 ,MWh
80,부산,풍력,자가용,102 ,111 ,105 ,96 ,96 ,MWh
81,부산,수력,사업용,31 ,30 ,16 ,36 ,27 ,MWh
82,부산,수력,자가용,70 ,57 ,41 ,66 ,32 ,MWh
83,부산,해양,사업용,-,-,-,-,-,MWh
84,부산,바이오가스,사업용,-,-,-,-,478 ,MWh
85,부산,바이오가스,자가용,-,-,-,-,-,MWh
86,부산,매립지가스,사업용,"9,123 ","11,336 ","14,892 ","14,618 ","15,318 ",MWh
87,부산,매립지가스,자가용,-,-,-,-,-,MWh
88,부산,우드칩,사업용,-,-,-,-,-,MWh
89,부산,우드칩,자가용,-,-,-,-,-,MWh
90,부산,목재펠릿,사업용,-,-,-,-,-,MWh
91,부산,목재펠릿,자가용,-,-,-,-,-,MWh
92,부산,폐목재,사업용,-,-,-,-,-,MWh
93,부산,폐목재,자가용,-,-,-,-,-,MWh
94,부산,흑액,자가용,-,-,-,-,-,MWh
95,부산,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
96,부산,Bio-SRF,사업용,-,-,-,-,-,MWh
97,부산,Bio-SRF,자가용,-,-,-,-,-,MWh
98,부산,바이오중유,사업용,-,-,-,-,-,MWh
