years,location,service_employment,total_exports,number_of_company,consumer_price_index,per_capita_personal_income,working_age_population,service_business_cycle_index,total_company_asset
2019,Busan,842161,14190054672,212122,99.824,19723,2420,57.583,106597303
2019,Daegu,549232,6437627886,148761,99.710,19196,1773,50.417,65473883
2019,Gwangju,364864,4705444391,91323,99.564,20791,1093,69.000,30743270
2019,Daejeon,366278,3640020981,87565,99.622,20648,1116,73.917,4432784
2019,Ulsan,233611,25271975375,64901,99.705,22617,858,59.333,1478461
2019,Gangwondo,384868,1135624661,109849,99.384,19174,1059,59.917,10230784
2019,Chungcheongbukdo,341993,8935593359,94359,99.487,18989,1164,59.000,4423787
2019,Chungcheongnamdo,441873,26259613041,124709,99.343,19216,1533,67.250,5504910
2019,Jeonlabukdo,387857,3277761471,109305,99.467,18941,1239,64.417,21848785
2019,Jeonlanamdo,389087,8406841287,113541,99.300,19072,1182,69.833,3877694
2019,Gyeongsangbukdo,529036,19112329204,163249,99.875,18748,1835,63.167,5189413
2019,Gyeongsangnamdo,681153,33646577299,201479,99.385,19078,2381,60.000,7907822
2019,Jeju,191116,176358975,51663,99.574,18815,471,64.417,8014798
2020,Busan,865821,11503189633,275043,100.000,20460,2368,47.167,108831808
2020,Daegu,560936,5512450010,191476,100.000,20229,1740,40.583,70320004
2020,Gwangju,371711,4463889639,117245,100.000,21591,1078,62.333,7331409
2020,Daejeon,394853,4718744803,115797,100.000,21707,1100,57.583,4611606
2020,Ulsan,232337,23919590227,80276,100.000,23863,845,52.667,1932538
2020,Gangwondo,390349,1150161239,131006,100.000,20267,1046,47.667,13723873
2020,Chungcheongbukdo,358710,10673094074,120718,100.000,20029,1157,48.833,6137551
2020,Chungcheongnamdo,464571,21725584628,159564,100.000,20393,1510,55.750,5069143
2020,Jeonlabukdo,397961,3438635393,136431,100.000,19991,1223,56.417,25397255
2020,Jeonlanamdo,398921,6773436711,137260,100.000,19873,1172,53.833,5532009
2020,Gyeongsangbukdo,544238,17724887593,197496,100.000,19798,1801,45.250,5885218
2020,Gyeongsangnamdo,696553,30276185527,252194,100.000,19759,2351,49.583,7580583
2020,Jeju,202082,195248408,68364,100.000,19954,471,41.667,10035825
2021,Busan,878505,15385353129,274196,102.460,21035,2317,62.917,139596119
2021,Daegu,567354,7190201984,187320,102.640,20886,1705,59.583,76359700
2021,Gwangju,380031,5120916153,116078,102.570,22209,1065,69.167,42967097
2021,Daejeon,391973,4786668290,114394,102.500,22565,1083,79.417,5317753
2021,Ulsan,236679,32949707890,78444,102.490,24897,826,60.417,2356014
2021,Gangwondo,398750,1441488821,134304,102.800,20918,1035,60.833,15930439
2021,Chungcheongbukdo,366897,10723792942,120449,102.690,21019,1148,60.333,10186415
2021,Chungcheongnamdo,472222,28623797043,161469,102.770,21169,1499,73.333,5987643
2021,Jeonlabukdo,397588,4453691576,136153,102.590,20745,1206,66.000,33584313
2021,Jeonlanamdo,408134,8781797269,139045,102.620,20779,1157,72.000,6335001
2021,Gyeongsangbukdo,557289,21095208657,198199,102.740,20522,1776,67.083,7289410
2021,Gyeongsangnamdo,711784,33933279495,252235,102.530,20535,2313,60.250,9636325
2021,Jeju,205817,317718591,69654,102.630,20360,471,64.833,20148063
