구분,승용차,화물차
충청북도,669120,158939
청주시,359867,57995
충주시,89358,21384
제천시,51967,15267
보은군,11395,6806
옥천군,18696,8149
영동군,16320,8190
증평군,15536,3659
진천군,38539,9703
괴산군,14160,7925
음성군,42823,14573
단양군,10459,5288
