구분,승용차,화물차
충청북도,664649,158541
청주시,357454,57761
충주시,88722,21338
제천시,51618,15257
보은군,11328,6732
옥천군,18615,8095
영동군,16330,8171
증평군,15490,3685
진천군,37786,9625
괴산군,14062,7901
음성군,42838,14650
단양군,10406,5326
