구분,승용차,화물차
충청북도,663456,158534
청주시,357055,57858
충주시,88389,21354
제천시,51624,15294
보은군,11292,6673
옥천군,18576,8091
영동군,16282,8156
증평군,15443,3686
진천군,37679,9598
괴산군,14002,7868
음성군,42714,14611
단양군,10400,5345
