구분,승용차,화물차
충청북도,667137,158725
청주시,358819,57885
충주시,89109,21444
제천시,51848,15256
보은군,11382,6755
옥천군,18675,8111
영동군,16362,8172
증평군,15493,3669
진천군,38084,9627
괴산군,14102,7898
음성군,42820,14606
단양군,10443,5302
