구분,승용차,화물차
충청북도,660953,158547
청주시,355858,57904
충주시,87941,21339
제천시,51491,15311
보은군,11292,6670
옥천군,18516,8107
영동군,16239,8128
증평군,15195,3694
진천군,37540,9604
괴산군,13987,7859
음성군,42489,14594
단양군,10405,5337
