구분,승용차,화물차
충청북도,657081,158206
청주시,353348,57851
충주시,87444,21266
제천시,51275,15324
보은군,11240,6655
옥천군,18422,8071
영동군,16189,8093
증평군,15332,3684
진천군,37359,9566
괴산군,13921,7832
음성군,42194,14560
단양군,10357,5304
