구분,승용차,화물차
합  계,652572,158225
청주시,350625,58124
충주시,86749,21190
제천시,51015,15361
보은군,11211,6617
옥천군,18302,7992
영동군,16139,8089
증평군,15212,3691
진천군,37010,9574
괴산군,13931,7810
음성군,42061,14492
단양군,10317,5285
