00000090,38.25085,128.56471
00000095,38.14788,127.30420
00000098,37.90186,127.06069
00000099,37.88588,126.76649
00000100,37.67713,128.71832
00000101,37.90256,127.73570
00000102,37.96611,124.63046
00000104,37.80456,128.85535
00000105,37.75147,128.89098
00000106,37.50708,129.12433
00000108,37.57141,126.96579
00000112,37.47770,126.62490
00000114,37.33756,127.94660
00000115,37.48129,130.89864
00000119,37.27230,126.98530
00000121,37.18126,128.45743
00000127,36.97038,127.95266
00000129,36.77661,126.49391
00000130,36.99176,129.41278
00000131,36.63924,127.44066
00000133,36.37200,127.37212
00000135,36.22023,127.99457
00000136,36.57293,128.70732
00000137,36.40838,128.15742
00000138,36.03259,129.37962
00000140,36.00530,126.76135
00000143,35.87820,128.65220
00000146,35.84080,127.11720
00000152,35.56014,129.32027
00000155,35.17020,128.57285
00000156,35.17294,126.89158
00000159,35.10468,129.03203
00000162,34.84546,128.43560
00000165,34.81689,126.38121
00000168,34.73929,127.74064
00000169,34.68719,125.45103
00000170,34.39587,126.70184
00000172,35.34890,126.59900
00000174,35.02040,127.36940
00000175,34.47212,126.32379
00000192,35.16379,128.04002
00000201,37.70739,126.44634
00000202,37.48857,127.49447
00000203,37.26398,127.48420
00000211,38.05987,128.16713
00000212,37.68360,127.88042
00000216,37.17031,128.98927
00000221,37.15927,128.19430
00000226,36.48759,127.73412
00000232,36.77962,127.12127
00000235,36.32721,126.55741
00000236,36.27236,126.92081
00000238,36.10562,127.48175
00000243,35.72954,126.71655
00000244,35.61227,127.28556
00000245,35.56317,126.86611
00000247,35.40230,127.39670
00000248,35.65695,127.52029
00000251,35.42660,126.69700
00000252,35.28367,126.47779
00000253,35.22666,128.89300
00000254,35.37140,127.12860
00000255,35.22640,128.67250
00000257,35.30720,129.02000
00000258,34.76330,127.21230
00000259,34.62610,126.76890
00000260,34.68875,126.91949
00000261,34.55359,126.56897
00000262,34.61824,127.27571
00000271,36.94355,128.91454
00000272,36.87188,128.51695
00000273,36.62727,128.14877
