구,행정동,총사업체수,총종사자수,총여성종사자,자영업주_및_무급가족_소계,자영업주_및_무급가족_여성종사자,상용근로자_소계,상용근로자_여성종사자,임시_및_일용근로자_소계,임시_및_일용근로자_여성종사자,기타종사자_소계,기타종사자_여성종사자
성동구,옥수동,868,"4,189","2,240",764,390,"2,162","1,228","1,198",575,65,47
광진구,소계,"24,445","126,305","58,406","24,191","10,421","69,770","32,974","25,960","11,241","6,384","3,770"
광진구,화양동,"2,447","15,023","7,337","2,623","1,103","8,360","4,085","3,673","1,922",367,227
광진구,군자동,"1,593","10,021","4,797","1,615",688,"5,628","2,451","2,399","1,447",379,211
광진구,중곡1동,"1,588","6,288","3,124","1,620",676,"3,645","1,908",790,382,233,158
광진구,중곡2동,"1,674","6,959","3,328","1,642",726,"3,564","1,691","1,039",434,714,477
광진구,중곡3동,"1,301","4,543","2,345","1,434",612,"2,380","1,310",640,356,89,67
광진구,중곡4동,"1,524","4,751","2,226","1,711",699,"2,269","1,149",688,349,83,29
광진구,능동,802,"5,723","3,005",674,299,"2,995","1,484","1,019",538,"1,035",684
광진구,구의1동,"1,760","6,989","3,220","1,765",795,"3,822","1,741","1,296",615,106,69
광진구,구의2동,"1,309","5,912","2,685","1,289",535,"2,785","1,369","1,494",581,344,200
광진구,구의3동,"2,695","16,544","7,014","2,310",955,"10,336","4,376","2,888","1,198","1,010",485
광진구,광장동,"1,398","16,114","5,853","1,102",527,"7,588","3,390","5,987","1,206","1,437",730
광진구,자양1동,"1,780","8,987","4,432","1,818",847,"5,713","2,681","1,229",743,227,161
광진구,자양2동,"1,433","6,095","2,709","1,438",566,"3,695","1,703",863,380,99,60
광진구,자양3동,"1,324","6,185","3,405","1,195",548,"3,899","2,149",985,621,106,87
광진구,자양4동,"1,817","6,171","2,926","1,955",845,"3,091","1,487",970,469,155,125
동대문구,소계,"31,324","138,400","65,333","33,024","13,497","81,131","37,881","16,237","8,761","8,008","5,194"
동대문구,회기동,"1,034","10,615","5,508","1,144",529,"7,261","3,866","2,138","1,067",72,46
동대문구,휘경1동,929,"3,558","1,930",998,444,"1,719",919,558,309,283,258
동대문구,휘경2동,"1,221","4,930","2,585","1,260",356,"2,964","1,770",530,339,176,120
동대문구,청량리동,"1,614","8,267","3,904","1,768",757,"5,332","2,572",739,392,428,183
동대문구,용신동,"5,195","28,569","13,599","5,106","1,994","18,227","8,504","2,806","1,513","2,430","1,588"
동대문구,제기동,"4,632","13,499","5,787","5,746","2,587","6,395","2,417",941,495,417,288
동대문구,전농1동,"2,262","7,802","3,713","2,334","1,055","3,851","1,706","1,109",645,508,307
동대문구,전농2동,920,"4,853","2,365",896,388,"3,474","1,723",407,225,76,29
동대문구,답십리1동,"1,971","8,041","3,906","1,974",706,"4,293","2,124","1,183",700,591,376
동대문구,답십리2동,"2,187","7,544","3,274","2,147",765,"4,132","1,778",818,374,447,357
동대문구,장안1동,"4,409","20,501","9,102","4,270","1,608","12,505","5,567","2,433","1,119","1,293",808
동대문구,장안2동,"3,071","11,503","6,169","3,351","1,450","5,687","3,064","1,652","1,049",813,606
동대문구,이문1동,"1,191","6,425","2,506","1,297",550,"4,118","1,362",675,386,335,208
동대문구,이문2동,688,"2,293",985,733,308,"1,173",509,248,148,139,20
중랑구,소계,"28,228","103,345","50,160","30,874","12,203","51,095","25,614","17,381","9,747","3,995","2,596"
중랑구,면목2동,"2,062","6,306","3,132","2,435","1,002","2,419","1,273","1,360",805,92,52
중랑구,면목4동,"1,172","3,839","1,681","1,283",519,"1,750",703,635,348,171,111
중랑구,면목5동,830,"3,050","1,194",967,356,"1,320",485,726,339,37,14
중랑구,면목7동,"1,477","4,335","2,301","1,784",785,"1,575",907,879,555,97,54
중랑구,상봉1동,"1,171","6,638","3,139","1,106",418,"3,862","1,729",888,572,782,420
중랑구,상봉2동,"2,159","9,306","4,494","2,290","1,015","5,073","2,245","1,329",825,614,409
중랑구,중화1동,"1,089","3,590","1,951","1,102",420,"1,912","1,170",501,310,75,51
중랑구,중화2동,"2,111","6,771","2,961","2,355",995,"3,103","1,317",994,465,319,184
중랑구,묵1동,"1,555","5,736","3,047","1,583",662,"3,170","1,864",792,378,191,143
중랑구,묵2동,"1,811","4,688","2,231","1,943",676,"1,851","1,013",666,364,228,178
중랑구,망우3동,"1,132","3,746","1,900","1,309",516,"1,578",850,809,493,50,41
중랑구,신내1동,"2,017","11,518","4,889","1,984",689,"7,436","3,343","1,947",761,151,96
중랑구,신내2동,"1,120","6,468","3,483","1,101",474,"3,969","2,185","1,125",656,273,168
중랑구,면목본동,"2,572","7,681","4,206","3,144","1,384","2,388","1,473","2,016","1,226",133,123
중랑구,면목3.8동,"2,123","7,671","3,819","2,430","1,029","3,706","1,860","1,237",778,298,152
중랑구,망우본동,"3,827","12,002","5,732","4,058","1,263","5,983","3,197","1,477",872,484,400
성북구,소계,"23,617","111,005","56,030","24,511","10,487","64,935","32,999","18,284","10,443","3,275","2,101"
성북구,돈암1동,386,"2,116","1,097",366,149,"1,204",758,448,170,98,20
성북구,돈암2동,421,"2,477","1,646",398,194,"1,890","1,320",187,130,2,2
성북구,안암동,"1,431","13,406","6,696","1,308",512,"8,355","4,416","3,619","1,683",124,85
성북구,보문동,"1,294","5,461","2,665","1,408",541,"3,081","1,495",700,464,272,165
성북구,정릉1동,757,"1,976","1,020",804,345,747,470,383,180,42,25
성북구,정릉2동,904,"2,961","1,377",969,368,"1,474",747,377,230,141,32
성북구,정릉3동,717,"4,764","1,925",718,286,"3,666","1,416",340,188,40,35
성북구,정릉4동,929,"4,131","1,746",989,401,"2,376",886,657,421,109,38
성북구,길음1동,"1,008","3,921","2,456","1,054",510,"2,018","1,363",655,440,194,143
성북구,길음2동,995,"4,816","2,803",907,451,"2,964","1,683",794,537,151,132
성북구,월곡1동,"1,361","5,403","2,744","1,403",545,"3,111","1,628",785,515,104,56
성북구,월곡2동,"1,558","8,951","4,538","1,638",714,"5,847","2,856","1,372",929,94,39
성북구,장위1동,911,"2,263","1,207",986,386,695,416,429,266,153,139
성북구,장위2동,"1,106","3,218","1,716","1,307",550,"1,204",670,625,429,82,67
성북구,장위3동,597,"2,331","1,084",640,230,"1,001",520,469,314,221,20
성북구,성북동,"1,174","5,315","2,720",997,490,"3,374","1,704",772,425,172,101
