구,행정동,사업체수,종사자수,평균종사자,사업체_평균연령
도봉구,방학1동,"2,350","13,653",5.81,8년5개월
도봉구,방학2동,"1,219","2,909",2.39,9년8개월
도봉구,방학3동,898,"3,169",3.53,11년6개월
도봉구,창1동,"1,538","3,958",2.57,10년1개월
도봉구,창2동,"1,410","4,428",3.14,9년9개월
도봉구,창3동,915,"2,170",2.37,9년12개월
도봉구,창4동,"1,319","7,530",5.71,9년8개월
도봉구,창5동,"2,157","7,359",3.41,11년10개월
도봉구,도봉1동,"1,626","5,766",3.55,10년2개월
도봉구,도봉2동,"1,426","6,319",4.43,10년2개월
노원구,소계,"26,618","116,684",4.38,12년8개월
노원구,월계1동,"1,466","6,721",4.58,11년3개월
노원구,월계2동,930,"3,255",3.5,17년2개월
노원구,월계3동,996,"4,143",4.16,14년9개월
노원구,공릉2동,"1,955","11,629",5.95,12년6개월
노원구,하계1동,"1,088","7,931",7.29,11년4개월
노원구,하계2동,414,"1,220",2.95,17년9개월
노원구,중계본동,"1,205","5,602",4.65,10년7개월
노원구,중계1동,"1,050","4,205",4,10년9개월
노원구,중계4동,"1,059","3,923",3.7,11년0개월
노원구,상계1동,"3,183","9,518",2.99,18년11개월
노원구,상계2동,"2,668","10,536",3.95,8년1개월
노원구,상계5동,"1,567","4,936",3.15,10년0개월
노원구,상계8동,484,"1,697",3.51,12년8개월
노원구,상계9동,698,"2,520",3.61,15년11개월
노원구,상계10동,515,"2,188",4.25,15년7개월
노원구,상계3.4동,"1,196","3,787",3.17,13년7개월
노원구,상계6.7동,"1,921","15,772",8.21,12년7개월
노원구,중계2.3동,"1,382","5,153",3.73,11년11개월
노원구,공릉1동,"2,841","11,948",4.21,11년2개월
은평구,소계,"24,681","93,631",3.79,12년1개월
은평구,녹번동,"1,962","9,531",4.86,11년5개월
은평구,불광1동,"1,627","7,034",4.32,11년10개월
은평구,갈현1동,"1,498","4,881",3.26,9년11개월
은평구,갈현2동,"1,579","5,985",3.79,10년8개월
은평구,구산동,"1,216","5,509",4.53,14년3개월
은평구,대조동,"2,430","7,864",3.24,10년2개월
은평구,응암1동,"1,661","7,831",4.71,10년8개월
은평구,응암2동,707,"2,102",2.97,11년6개월
은평구,신사1동,"1,347","4,066",3.02,12년12개월
은평구,신사2동,"1,704","3,716",2.18,22년12개월
은평구,증산동,945,"3,619",3.83,13년4개월
은평구,수색동,514,"2,264",4.4,14년7개월
은평구,진관동,"1,894","12,366",6.53,8년4개월
은평구,불광2동,"1,295","3,943",3.04,12년5개월
은평구,응암3동,"1,768","5,142",2.91,10년11개월
은평구,역촌동,"2,534","7,778",3.07,11년3개월
서대문구,소계,"20,095","113,819",5.66,10년0개월
서대문구,천연동,915,"3,069",3.35,11년7개월
서대문구,홍제1동,"1,154","4,827",4.18,10년0개월
서대문구,홍제3동,"1,157","3,687",3.19,11년5개월
서대문구,홍제2동,594,"1,699",2.86,9년7개월
서대문구,홍은1동,999,"2,658",2.66,10년4개월
서대문구,홍은2동,"1,219","5,414",4.44,9년12개월
서대문구,남가좌1동,691,"2,204",3.19,9년3개월
서대문구,남가좌2동,"1,310","5,271",4.02,10년3개월
서대문구,북가좌1동,681,"3,173",4.66,10년3개월
서대문구,북가좌2동,"2,443","6,752",2.76,12년9개월
서대문구,충현동,"1,817","24,246",13.34,11년6개월
서대문구,북아현동,862,"2,420",2.81,9년12개월
서대문구,신촌동,"3,901","37,647",9.65,7년2개월
서대문구,연희동,"2,352","10,752",4.57,9년7개월
마포구,소계,"37,290","247,276",6.63,7년11개월
마포구,용강동,"2,566","18,813",7.33,9년3개월
마포구,대흥동,"1,571","10,097",6.43,9년1개월
마포구,염리동,726,"4,383",6.04,9년5개월
마포구,신수동,"1,209","5,549",4.59,8년12개월
마포구,서교동,"9,552","57,173",5.99,6년5개월
마포구,합정동,"2,397","11,154",4.65,6년4개월
마포구,망원1동,"1,899","5,293",2.79,9년3개월
마포구,망원2동,"1,348","4,505",3.34,9년0개월
마포구,연남동,"1,915","6,911",3.61,5년7개월
마포구,성산1동,"1,534","11,155",7.27,9년6개월
마포구,성산2동,"1,757","11,682",6.65,9년6개월
마포구,상암동,"2,531","41,880",16.55,6년5개월
마포구,도화동,"2,082","16,774",8.06,9년5개월
마포구,서강동,"1,828","12,774",6.99,6년12개월
마포구,공덕동,"2,756","18,197",6.6,9년11개월
마포구,아현동,"1,619","10,936",6.75,9년4개월
양천구,소계,"25,894","121,582",4.7,11년8개월
양천구,목1동,"2,872","21,666",7.54,7년12개월
양천구,목2동,"1,196","4,523",3.78,11년3개월
양천구,목3동,"1,282","4,740",3.7,10년3개월
양천구,목4동,"1,347","3,945",2.93,10년1개월
