구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
관악구,성현동,821,"2,951",3.59,"1,207","4,340","45,846",9.47
관악구,청룡동,"1,855","10,350",5.58,"1,572","8,771","29,186",30.05
관악구,난곡동,954,"2,452",2.57,994,"2,554","30,117",8.48
관악구,삼성동,"1,010","2,618",2.59,380,984,"9,483",10.38
관악구,미성동,"1,490","5,522",3.71,"1,080","4,001","23,733",16.86
서초구,소계,"46,940","438,985",9.35,999,"9,344","9,262",100.89
서초구,서초1동,"3,811","32,022",8.4,"2,684","22,551","15,196",148.39
서초구,서초2동,"5,072","53,003",10.45,"4,090","42,744","15,191",281.38
서초구,서초3동,"7,725","81,064",10.49,"2,637","27,667","10,563",261.91
서초구,서초4동,"3,012","28,529",9.47,"3,423","32,419","36,350",89.19
서초구,잠원동,"2,199","18,054",8.21,"1,249","10,258","19,961",51.39
서초구,반포본동,665,"2,326",3.5,658,"2,303","12,069",19.08
서초구,반포1동,"1,737","10,255",5.9,"1,737","10,255","33,237",30.85
서초구,반포2동,306,"2,142",7,227,"1,587","12,137",13.07
서초구,반포3동,964,"7,502",7.78,753,"5,861","15,930",36.79
서초구,반포4동,"3,291","29,877",9.08,"2,301","20,893","14,148",147.67
서초구,방배본동,"1,623","10,497",6.47,"2,422","15,667","32,216",48.63
서초구,방배1동,"1,907","16,332",8.56,"2,724","23,331","25,034",93.2
서초구,방배2동,"1,852","17,806",9.61,960,"9,226","10,859",84.96
서초구,방배3동,"1,186","13,826",11.66,494,"5,761","9,356",61.57
서초구,방배4동,"2,149","14,635",6.81,"2,193","14,934","24,574",60.77
서초구,양재1동,"3,616","44,006",12.17,628,"7,640","7,976",95.79
서초구,양재2동,"4,989","48,262",9.67,658,"6,367","3,056",208.38
서초구,내곡동,836,"8,847",10.58,66,698,"1,457",47.87
강남구,소계,"71,027","698,840",9.84,"1,798","17,692","13,929",127.01
강남구,신사동,"4,140","26,210",6.33,"2,190","13,868","9,284",149.38
강남구,논현1동,"5,309","41,829",7.88,"4,247","33,463","19,034",175.81
강남구,논현2동,"5,596","62,264",11.13,"3,807","42,356","14,901",284.26
강남구,삼성1동,"4,079","63,573",15.59,"2,103","32,770","7,691",426.09
강남구,삼성2동,"3,661","37,531",10.25,"2,952","30,267","24,737",122.35
강남구,대치1동,"1,068","6,451",6.04,"1,352","8,166","32,028",25.5
강남구,대치4동,"3,677","31,920",8.68,"5,037","43,726","28,523",153.3
강남구,역삼1동,"15,451","155,883",10.09,"6,575","66,333","15,746",421.28
강남구,역삼2동,"3,775","38,437",10.18,"3,283","33,423","32,466",102.95
강남구,도곡1동,"1,596","17,066",10.69,"1,565","16,731","22,182",75.43
강남구,도곡2동,"1,828","19,895",10.88,"1,792","19,505","33,762",57.77
강남구,개포1동,169,875,5.18,133,689,"5,449",12.64
강남구,개포4동,"1,884","10,524",5.59,"1,264","7,063","12,352",57.18
강남구,일원본동,500,"9,755",19.51,194,"3,781","9,457",39.98
강남구,일원1동,"2,123","6,888",3.24,"2,308","7,487","17,867",41.9
강남구,일원2동,564,"9,506",16.85,455,"7,666","14,645",52.35
강남구,수서동,"1,504","18,055",12,"1,052","12,626","11,143",113.31
강남구,세곡동,"1,338","7,062",5.28,210,"1,110","7,086",15.67
강남구,압구정동,"3,919","29,427",7.51,"1,549","11,631","10,953",106.19
강남구,청담동,"4,212","38,137",9.05,"1,808","16,368","12,927",126.62
강남구,대치2동,"3,897","64,496",16.55,"1,949","32,248","19,324",166.88
강남구,개포2동,737,"3,056",4.15,294,"1,218","8,784",13.86
송파구,소계,"48,644","341,201",7.01,"1,436","10,074","20,158",49.98
송파구,풍납1동,730,"2,489",3.41,948,"3,232","20,153",16.04
송파구,풍납2동,"1,151","16,316",14.18,724,"10,262","15,904",64.52
송파구,거여1동,826,"3,649",4.42,"1,620","7,155","25,924",27.6
송파구,거여2동,841,"4,560",5.42,"1,587","8,604","31,926",26.95
송파구,마천1동,994,"2,411",2.43,"1,714","4,157","35,800",11.61
송파구,마천2동,"1,350","4,236",3.14,"1,517","4,760","22,744",20.93
송파구,방이1동,"1,317","8,454",6.42,"2,634","16,908","33,048",51.16
송파구,방이2동,"3,125","19,808",6.34,"3,906","24,760","32,555",76.06
송파구,오륜동,496,"5,724",11.54,156,"1,806","5,951",30.34
송파구,오금동,"2,397","16,687",6.96,"1,453","10,113","24,889",40.63
송파구,송파1동,"2,509","14,692",5.86,"3,176","18,597","32,944",56.45
송파구,송파2동,836,"4,149",4.96,"1,577","7,828","39,362",19.89
송파구,석촌동,"2,666","15,306",5.74,"2,806","16,112","36,115",44.61
송파구,삼전동,"2,028","11,418",5.63,"2,135","12,019","34,329",35.01
송파구,가락본동,"3,489","25,440",7.29,"3,088","22,513","24,669",91.26
송파구,가락1동,"2,988","11,391",3.81,"2,230","8,501","20,684",41.1
송파구,가락2동,"1,901","9,763",5.14,"1,980","10,170","35,333",28.78
송파구,문정1동,"1,295","6,194",4.78,"2,313","11,061","38,038",29.08
송파구,문정2동,"7,131","59,850",8.39,"3,241","27,205","13,621",199.72
송파구,장지동,"1,337","9,229",6.9,976,"6,736","24,128",27.92
송파구,위례동,667,"3,859",5.79,262,"1,513","11,096",13.64
송파구,잠실본동,"3,042","19,197",6.31,"3,236","20,422","31,519",64.79
송파구,잠실4동,383,"1,696",4.43,246,"1,087","14,256",7.63
송파구,잠실6동,"2,629","49,280",18.74,942,"17,663","6,251",282.55
송파구,잠실7동,196,"1,284",6.55,327,"2,140","16,985",12.6
송파구,잠실2동,777,"4,583",5.9,356,"2,102","16,885",12.45
송파구,잠실3동,"1,543","9,536",6.18,"1,036","6,400","24,187",26.46
강동구,소계,"29,080","141,770",4.88,"1,183","5,765","17,909",32.19
강동구,강일동,962,"17,586",18.28,344,"6,281","11,474",54.74
강동구,상일동,918,"5,176",5.64,346,"1,953","4,065",48.05
강동구,명일1동,"1,739","6,643",3.82,"2,851","10,890","43,866",24.83
강동구,명일2동,987,"3,944",4,"1,018","4,066","18,328",22.18
강동구,고덕1동,732,"2,670",3.65,423,"1,543","15,653",9.86
강동구,고덕2동,677,"2,548",3.76,337,"1,268","9,624",13.17
강동구,암사2동,838,"3,711",4.43,710,"3,145","12,520",25.12
강동구,암사3동,576,"2,185",3.79,229,871,"7,447",11.69
강동구,천호1동,"1,534","5,332",3.48,"2,161","7,510","40,000",18.77
강동구,천호3동,"1,830","7,474",4.08,"2,316","9,461","35,438",26.7
강동구,성내1동,"2,048","17,777",8.68,"3,531","30,650","35,450",86.46
강동구,성내2동,"1,836","6,770",3.69,"2,740","10,104","37,591",26.88
강동구,성내3동,"2,439","9,117",3.74,"3,435","12,841","33,692",38.11
강동구,둔촌1동,17,283,16.65,18,308,308,100
강동구,둔촌2동,"1,553","9,463",6.09,"1,585","9,656","28,318",34.1
강동구,암사1동,"1,918","5,646",2.94,"1,880","5,535","35,974",15.39
강동구,천호2동,"3,439","14,208",4.13,"2,190","9,050","22,869",39.57
강동구,길동,"5,037","21,237",4.22,"2,321","9,787","21,367",45.8
