구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
광진구,자양3동,"1,324","6,185",4.67,"1,103","5,154","24,563",20.98
광진구,자양4동,"1,817","6,171",3.4,"1,566","5,320","19,828",26.83
동대문구,소계,"31,324","138,400",4.42,"2,203","9,733","25,529",38.12
동대문구,회기동,"1,034","10,615",10.27,"1,361","13,967","17,255",80.94
동대문구,휘경1동,929,"3,558",3.83,"1,475","5,648","26,203",21.55
동대문구,휘경2동,"1,221","4,930",4.04,"1,163","4,695","23,874",19.67
동대문구,청량리동,"1,614","8,267",5.12,"1,345","6,889","18,173",37.91
동대문구,용신동,"5,195","28,569",5.5,"3,227","17,745","19,965",88.88
동대문구,제기동,"4,632","13,499",2.91,"3,925","11,440","23,190",49.33
동대문구,전농1동,"2,262","7,802",3.45,"1,901","6,556","26,113",25.11
동대문구,전농2동,920,"4,853",5.28,"1,070","5,643","23,244",24.28
동대문구,답십리1동,"1,971","8,041",4.08,"2,433","9,927","36,769",27
동대문구,답십리2동,"2,187","7,544",3.45,"2,573","8,875","35,866",24.75
동대문구,장안1동,"4,409","20,501",4.65,"3,527","16,401","31,322",52.36
동대문구,장안2동,"3,071","11,503",3.75,"2,817","10,553","30,317",34.81
동대문구,이문1동,"1,191","6,425",5.39,"1,145","6,178","21,453",28.8
동대문구,이문2동,688,"2,293",3.33,997,"3,323","30,687",10.83
중랑구,소계,"28,228","103,345",3.66,"1,526","5,586","21,731",25.71
중랑구,면목2동,"2,062","6,306",3.06,"2,825","8,638","35,537",24.31
중랑구,면목4동,"1,172","3,839",3.28,"1,065","3,490","18,229",19.15
중랑구,면목5동,830,"3,050",3.67,"1,297","4,766","15,352",31.04
중랑구,면목7동,"1,477","4,335",2.94,"1,698","4,983","25,517",19.53
중랑구,상봉1동,"1,171","6,638",5.67,"1,378","7,809","29,999",26.03
중랑구,상봉2동,"2,159","9,306",4.31,"3,175","13,685","29,182",46.9
중랑구,중화1동,"1,089","3,590",3.3,"1,601","5,279","30,759",17.16
중랑구,중화2동,"2,111","6,771",3.21,"2,154","6,909","27,831",24.83
중랑구,묵1동,"1,555","5,736",3.69,"1,296","4,780","30,013",15.93
중랑구,묵2동,"1,811","4,688",2.59,"2,587","6,697","28,430",23.56
중랑구,망우3동,"1,132","3,746",3.31,"1,143","3,784","18,122",20.88
중랑구,신내1동,"2,017","11,518",5.71,797,"4,553","16,148",28.19
중랑구,신내2동,"1,120","6,468",5.78,"1,131","6,533","22,126",29.53
중랑구,면목본동,"2,572","7,681",2.99,"2,547","7,605","35,837",21.22
중랑구,면목3.8동,"2,123","7,671",3.61,"1,271","4,593","15,922",28.85
중랑구,망우본동,"3,827","12,002",3.14,"1,329","4,167","10,789",38.63
성북구,소계,"23,617","111,005",4.7,961,"4,518","18,508",24.41
성북구,돈암1동,386,"2,116",5.48,788,"4,318","32,492",13.29
성북구,돈암2동,421,"2,477",5.88,877,"5,160","52,142",9.9
성북구,안암동,"1,431","13,406",9.37,"1,076","10,080","13,159",76.6
성북구,보문동,"1,294","5,461",4.22,"2,311","9,752","29,738",32.79
성북구,정릉1동,757,"1,976",2.61,"1,720","4,491","44,216",10.16
성북구,정릉2동,904,"2,961",3.28,773,"2,531","20,371",12.42
성북구,정릉3동,717,"4,764",6.64,193,"1,284","4,645",27.64
성북구,정릉4동,929,"4,131",4.45,297,"1,320","8,560",15.42
성북구,길음1동,"1,008","3,921",3.89,"1,276","4,963","46,939",10.57
성북구,길음2동,995,"4,816",4.84,"1,716","8,303","28,655",28.98
성북구,월곡1동,"1,361","5,403",3.97,"1,680","6,670","33,979",19.63
성북구,월곡2동,"1,558","8,951",5.75,"1,146","6,582","15,080",43.64
성북구,장위1동,911,"2,263",2.48,"1,301","3,233","29,417",10.99
성북구,장위2동,"1,106","3,218",2.91,"1,651","4,803","20,854",23.03
성북구,장위3동,597,"2,331",3.9,918,"3,586","27,046",13.26
성북구,성북동,"1,174","5,315",4.53,410,"1,858","6,148",30.23
성북구,삼선동,"1,834","8,921",4.86,"1,993","9,697","28,275",34.29
