자치구,행정동,범주1,범주2,범주3
광진구,자양4동,강북,동북,동북1
동대문구,회기동,강북,동북,동북1
동대문구,휘경1동,강북,동북,동북1
동대문구,휘경2동,강북,동북,동북1
동대문구,청량리동,강북,동북,동북1
동대문구,용신동,강북,동북,동북1
동대문구,제기동,강북,동북,동북1
동대문구,전농1동,강북,동북,동북1
동대문구,전농2동,강북,동북,동북1
동대문구,답십리1동,강북,동북,동북1
동대문구,답십리2동,강북,동북,동북1
동대문구,장안1동,강북,동북,동북1
동대문구,장안2동,강북,동북,동북1
동대문구,이문1동,강북,동북,동북1
동대문구,이문2동,강북,동북,동북1
중랑구,면목2동,강북,동북,동북1
중랑구,면목4동,강북,동북,동북1
중랑구,면목5동,강북,동북,동북1
중랑구,면목7동,강북,동북,동북1
중랑구,상봉1동,강북,동북,동북1
중랑구,상봉2동,강북,동북,동북1
중랑구,중화1동,강북,동북,동북1
중랑구,중화2동,강북,동북,동북1
중랑구,묵1동,강북,동북,동북1
중랑구,묵2동,강북,동북,동북1
중랑구,망우3동,강북,동북,동북1
중랑구,신내1동,강북,동북,동북1
중랑구,신내2동,강북,동북,동북1
중랑구,면목본동,강북,동북,동북1
중랑구,면목3.8동,강북,동북,동북1
중랑구,망우본동,강북,동북,동북1
성북구,돈암1동,강북,동북,동북2
성북구,돈암2동,강북,동북,동북2
성북구,안암동,강북,동북,동북2
성북구,보문동,강북,동북,동북2
성북구,정릉1동,강북,동북,동북2
성북구,정릉2동,강북,동북,동북2
성북구,정릉3동,강북,동북,동북2
성북구,정릉4동,강북,동북,동북2
성북구,길음1동,강북,동북,동북2
성북구,길음2동,강북,동북,동북2
성북구,월곡1동,강북,동북,동북2
성북구,월곡2동,강북,동북,동북2
성북구,장위1동,강북,동북,동북2
성북구,장위2동,강북,동북,동북2
성북구,장위3동,강북,동북,동북2
성북구,성북동,강북,동북,동북2
성북구,삼선동,강북,동북,동북2
성북구,동선동,강북,동북,동북2
성북구,종암동,강북,동북,동북2
성북구,석관동,강북,동북,동북2
강북구,번1동,강북,동북,동북2
강북구,번2동,강북,동북,동북2
강북구,번3동,강북,동북,동북2
강북구,수유1동,강북,동북,동북2
강북구,수유2동,강북,동북,동북2
강북구,수유3동,강북,동북,동북2
강북구,삼양동,강북,동북,동북2
강북구,미아동,강북,동북,동북2
강북구,송중동,강북,동북,동북2
강북구,송천동,강북,동북,동북2
강북구,삼각산동,강북,동북,동북2
강북구,우이동,강북,동북,동북2
강북구,인수동,강북,동북,동북2
