구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
동작구,상도2동,82,68,94,35,27,48,14,25,30,18,14,16,14,6,9,11,6,6,14,4
동작구,상도3동,59,95,42,35,20,52,11,14,20,15,12,12,10,1,8,9,7,4,8,6
동작구,상도4동,55,129,34,15,24,41,15,14,26,13,11,13,8,2,9,11,3,2,3,2
동작구,사당1동,160,75,79,34,78,47,14,19,54,17,34,27,15,5,4,10,9,8,13,4
동작구,사당3동,56,65,45,7,8,32,7,11,22,13,5,14,12,8,6,8,3,-,5,2
동작구,사당4동,25,48,23,18,11,31,10,13,12,14,7,8,8,-,13,8,2,2,7,3
동작구,사당5동,24,53,24,4,4,25,7,4,16,7,2,4,5,4,2,3,2,1,-,1
동작구,대방동,80,87,69,20,36,40,18,25,37,21,12,29,24,13,5,5,10,5,13,5
동작구,신대방1동,58,56,44,29,19,46,21,21,18,18,9,9,9,5,9,10,12,2,8,4
동작구,신대방2동,101,53,54,10,18,37,10,16,38,13,9,20,6,6,1,-,11,6,11,3
동작구,흑석동,137,66,114,34,66,61,25,36,66,21,9,22,14,3,11,9,17,8,19,7
동작구,노량진1동,141,87,71,16,47,52,20,46,91,25,15,37,22,3,6,8,21,7,15,17
동작구,사당2동,147,60,65,51,86,52,12,23,37,22,28,21,24,3,21,14,15,7,14,7
관악구,소계,"1,931","1,964","1,010",714,796,895,322,453,635,363,330,400,269,156,146,185,191,91,141,111
관악구,보라매동,96,73,41,179,25,52,13,34,34,17,15,17,15,2,9,14,8,4,8,3
관악구,청림동,15,53,24,8,9,22,6,8,13,10,2,6,4,1,4,4,2,-,3,2
관악구,행운동,98,37,73,48,29,67,13,27,39,25,13,26,19,4,10,9,5,2,9,5
관악구,낙성대동,148,26,37,4,88,30,15,21,74,8,24,22,12,10,-,4,17,7,7,3
관악구,중앙동,94,46,51,15,32,35,6,10,23,12,8,18,9,9,-,2,6,3,7,3
관악구,인헌동,85,74,46,24,23,40,12,25,28,20,18,21,15,4,14,11,5,4,6,2
관악구,남현동,79,35,26,16,52,29,6,17,27,13,14,14,9,6,3,6,10,3,6,2
관악구,서원동,151,69,34,73,98,32,17,30,41,14,24,22,12,6,-,6,11,6,10,3
관악구,신원동,79,46,35,21,23,36,12,23,14,14,11,9,10,2,19,16,7,2,5,2
관악구,서림동,69,57,34,11,15,27,18,15,25,20,7,19,12,4,2,6,5,3,3,9
관악구,신사동,88,62,75,18,32,68,15,30,24,26,21,24,15,15,12,15,12,5,8,7
