구,행정동,사업체수,종사자수,평균종사자,사업체_창업률
용산구,청파동,"1,685","8,542",5.07,12.82
용산구,원효로1동,"1,758","10,067",5.73,12.06
용산구,한강로동,"4,899","41,427",8.46,12.66
용산구,한남동,"2,087","17,919",8.59,16.87
성동구,소계,"28,343","178,243",6.29,14.11
성동구,왕십리2동,824,"2,757",3.35,13.83
성동구,마장동,"3,207","12,056",3.76,8.36
성동구,사근동,"1,072","10,842",10.11,16.79
성동구,행당1동,"1,388","8,651",6.23,13.47
성동구,행당2동,627,"2,050",3.27,13.08
성동구,응봉동,369,"1,028",2.79,10.57
성동구,금호1가동,567,"2,100",3.7,12.17
성동구,금호4가동,657,"2,026",3.08,14
성동구,성수1가1동,"1,792","10,716",5.98,16.07
성동구,성수1가2동,"2,877","21,512",7.48,17.69
성동구,성수2가1동,"2,526","18,394",7.28,13.58
성동구,성수2가3동,"5,805","53,249",9.17,14.94
성동구,송정동,711,"2,709",3.81,13.08
성동구,용답동,"1,864","13,279",7.12,12.39
성동구,왕십리도선동,"2,176","10,015",4.6,17.56
성동구,금호2.3가동,"1,013","2,670",2.64,12.04
성동구,옥수동,868,"4,189",4.83,15.32
광진구,소계,"24,445","126,305",5.17,14.09
광진구,화양동,"2,447","15,023",6.14,17.78
광진구,군자동,"1,593","10,021",6.29,13.43
광진구,중곡1동,"1,588","6,288",3.96,14.55
광진구,중곡2동,"1,674","6,959",4.16,12.66
광진구,중곡3동,"1,301","4,543",3.49,13.53
광진구,중곡4동,"1,524","4,751",3.12,12.2
광진구,능동,802,"5,723",7.14,12.59
광진구,구의1동,"1,760","6,989",3.97,14.32
광진구,구의2동,"1,309","5,912",4.52,12.38
광진구,구의3동,"2,695","16,544",6.14,13.17
광진구,광장동,"1,398","16,114",11.53,13.59
광진구,자양1동,"1,780","8,987",5.05,15.17
광진구,자양2동,"1,433","6,095",4.25,14.1
광진구,자양3동,"1,324","6,185",4.67,13.67
광진구,자양4동,"1,817","6,171",3.4,15.24
동대문구,소계,"31,324","138,400",4.42,11.9
동대문구,회기동,"1,034","10,615",10.27,18.96
동대문구,휘경1동,929,"3,558",3.83,12.27
동대문구,휘경2동,"1,221","4,930",4.04,9.25
동대문구,청량리동,"1,614","8,267",5.12,11.28
동대문구,용신동,"5,195","28,569",5.5,10.72
동대문구,제기동,"4,632","13,499",2.91,9.84
동대문구,전농1동,"2,262","7,802",3.45,14.54
동대문구,전농2동,920,"4,853",5.28,10.87
동대문구,답십리1동,"1,971","8,041",4.08,12.08
동대문구,답십리2동,"2,187","7,544",3.45,9.56
동대문구,장안1동,"4,409","20,501",4.65,13.09
동대문구,장안2동,"3,071","11,503",3.75,13.12
동대문구,이문1동,"1,191","6,425",5.39,13.1
동대문구,이문2동,688,"2,293",3.33,14.24
중랑구,소계,"28,228","103,345",3.66,12.49
중랑구,면목2동,"2,062","6,306",3.06,12.85
중랑구,면목4동,"1,172","3,839",3.28,12.29
중랑구,면목5동,830,"3,050",3.67,9.88
중랑구,면목7동,"1,477","4,335",2.94,13.54
중랑구,상봉1동,"1,171","6,638",5.67,14.09
중랑구,상봉2동,"2,159","9,306",4.31,14.54
중랑구,중화1동,"1,089","3,590",3.3,13.59
중랑구,중화2동,"2,111","6,771",3.21,12.03
중랑구,묵1동,"1,555","5,736",3.69,15.18
중랑구,묵2동,"1,811","4,688",2.59,11.04
중랑구,망우3동,"1,132","3,746",3.31,12.37
중랑구,신내1동,"2,017","11,518",5.71,11.06
중랑구,신내2동,"1,120","6,468",5.78,11.34
중랑구,면목본동,"2,572","7,681",2.99,13.96
중랑구,면목3.8동,"2,123","7,671",3.61,13.66
중랑구,망우본동,"3,827","12,002",3.14,9.9
성북구,소계,"23,617","111,005",4.7,12.96
성북구,돈암1동,386,"2,116",5.48,6.74
성북구,돈암2동,421,"2,477",5.88,10.21
성북구,안암동,"1,431","13,406",9.37,16.42
성북구,보문동,"1,294","5,461",4.22,11.75
성북구,정릉1동,757,"1,976",2.61,12.15
성북구,정릉2동,904,"2,961",3.28,10.51
성북구,정릉3동,717,"4,764",6.64,10.74
성북구,정릉4동,929,"4,131",4.45,11.41
성북구,길음1동,"1,008","3,921",3.89,10.42
성북구,길음2동,995,"4,816",4.84,19.6
성북구,월곡1동,"1,361","5,403",3.97,11.17
성북구,월곡2동,"1,558","8,951",5.75,13.41
성북구,장위1동,911,"2,263",2.48,9.99
성북구,장위2동,"1,106","3,218",2.91,12.84
성북구,장위3동,597,"2,331",3.9,16.75
성북구,성북동,"1,174","5,315",4.53,13.63
성북구,삼선동,"1,834","8,921",4.86,12.7
성북구,동선동,"2,037","9,961",4.89,17.67
성북구,종암동,"2,034","8,629",4.24,11.9
성북구,석관동,"2,163","9,984",4.62,11.33
강북구,소계,"19,014","73,904",3.89,14.77
강북구,번1동,"1,895","9,633",5.08,16.09
강북구,번2동,640,"3,657",5.71,7.97
강북구,번3동,869,"3,147",3.62,9.21
강북구,수유1동,"1,473","5,349",3.63,14.32
강북구,수유2동,"1,280","3,797",2.97,13.67
강북구,수유3동,"2,542","9,146",3.6,17.7
강북구,삼양동,"1,059","3,509",3.31,11.43
강북구,미아동,"1,740","6,824",3.92,18.05
강북구,송중동,"2,117","8,611",4.07,19.23
강북구,송천동,"2,041","7,973",3.91,13.72
강북구,삼각산동,782,"2,247",2.87,11.64
강북구,우이동,"1,016","4,252",4.19,13.39
강북구,인수동,"1,560","5,759",3.69,11.99
도봉구,소계,"18,628","72,939",3.92,12.69
도봉구,쌍문1동,913,"3,831",4.2,12.27
도봉구,쌍문2동,"1,280","5,572",4.35,12.5
도봉구,쌍문3동,966,"4,182",4.33,12.32
도봉구,쌍문4동,611,"2,093",3.43,11.62
도봉구,방학1동,"2,350","13,653",5.81,15.83
도봉구,방학2동,"1,219","2,909",2.39,14.03
도봉구,방학3동,898,"3,169",3.53,11.02
도봉구,창1동,"1,538","3,958",2.57,11.44
도봉구,창2동,"1,410","4,428",3.14,12.84
도봉구,창3동,915,"2,170",2.37,12.46
도봉구,창4동,"1,319","7,530",5.71,13.57
도봉구,창5동,"2,157","7,359",3.41,11.5
도봉구,도봉1동,"1,626","5,766",3.55,12.48
도봉구,도봉2동,"1,426","6,319",4.43,11.08
노원구,소계,"26,618","116,684",4.38,12.05
노원구,월계1동,"1,466","6,721",4.58,11.32
노원구,월계2동,930,"3,255",3.5,8.39
노원구,월계3동,996,"4,143",4.16,10.64
노원구,공릉2동,"1,955","11,629",5.95,12.58
노원구,하계1동,"1,088","7,931",7.29,12.13
노원구,하계2동,414,"1,220",2.95,6.28
노원구,중계본동,"1,205","5,602",4.65,12.53
노원구,중계1동,"1,050","4,205",4,14.95
노원구,중계4동,"1,059","3,923",3.7,13.41
노원구,상계1동,"3,183","9,518",2.99,6.88
노원구,상계2동,"2,668","10,536",3.95,17.95
노원구,상계5동,"1,567","4,936",3.15,15.95
