범죄대분류,범죄중분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,114,60,0,28,0,0,1,0,1,1,9,8,8,1,0,0,1,0,3,0,3,1,0,7,1,3,3,0,0,0,5,0,0,17
강력범죄,살인미수등,123,85,0,105,0,1,0,1,4,0,5,24,13,2,0,1,1,0,8,0,2,0,1,6,1,3,0,0,0,0,5,2,1,33
강력범죄,강도,62,46,0,141,0,12,32,1,27,4,48,42,13,3,2,0,5,1,15,0,0,0,2,0,0,3,0,0,1,0,21,1,4,30
강력범죄,강간,1616,880,0,158,0,2,3,0,33,19,1644,196,55,2,2,3,2,0,131,1,20,15,0,11,7,9,0,1,0,1,45,48,3,560
강력범죄,유사강간,240,147,2,57,1,0,0,0,9,8,184,55,26,1,1,0,0,0,47,2,8,8,0,11,2,5,0,0,2,0,7,12,1,111
강력범죄,강제추행,1619,983,11,3098,34,86,277,11,373,150,843,2803,529,44,12,9,313,720,1017,95,258,340,18,301,45,32,2,20,8,0,114,65,37,1597
강력범죄,기타 강간?강제추행등,71,54,0,16,0,0,0,0,2,2,27,12,4,0,0,1,0,0,3,0,3,4,0,2,0,0,0,0,0,0,1,6,0,17
강력범죄,방화,331,274,1,207,0,5,6,1,31,26,41,36,36,14,6,10,7,1,2,3,11,5,5,15,2,15,4,0,0,2,32,8,3,93
절도범죄,절도범죄,17196,8117,115,51945,2274,11703,6994,3536,17550,3927,2738,8323,2146,1123,1207,1010,1175,585,2924,426,1771,1250,2493,946,574,3362,46,15,4,52,10381,703,994,14665
폭력범죄,상해,4160,2570,35,9150,13,88,126,12,339,248,581,3997,853,253,191,33,118,29,152,38,280,411,13,323,61,130,22,14,5,6,592,51,53,1859
폭력범죄,폭행,23017,12150,190,45258,134,476,1426,98,1701,1111,1829,13405,2897,639,623,92,856,490,3200,160,1070,758,100,1159,180,217,41,64,36,3,3018,194,257,8368
폭력범죄,체포?감금,238,133,4,198,0,1,3,1,10,6,89,57,56,6,2,0,4,2,137,0,1,7,2,34,3,2,1,1,0,0,14,0,7,126
폭력범죄,협박,5246,3320,122,6160,8,56,231,9,283,151,209,1367,578,74,52,12,30,10,113,24,86,80,11,135,35,46,7,5,6,2,314,3,29,2753
폭력범죄,약취?유인,53,19,0,123,0,0,1,0,1,2,11,0,2,0,0,0,1,0,0,0,9,15,0,2,3,0,0,0,0,0,1,1,0,32
폭력범죄,폭력행위등,600,322,3,3084,3,8,35,2,81,97,180,773,181,39,56,6,14,5,37,5,142,114,3,35,43,34,1,16,1,2,213,25,14,571
폭력범죄,공갈,356,416,2,664,0,6,24,1,41,23,62,171,230,11,17,0,20,4,18,1,31,47,10,20,6,6,0,9,2,0,30,4,18,4654
폭력범죄,손괴,7888,4162,39,22000,23,133,321,25,1074,728,2054,3025,682,154,205,61,192,28,164,30,208,121,110,115,113,1431,53,1,0,22,7031,176,119,4138
지능범죄,직무유기,24,18,0,116,0,0,1,0,2,3,1,7,829,0,5,0,1,0,0,1,0,13,4,9,2,11,1,3,5,0,2,0,2,490
지능범죄,직권남용,19,24,1,184,0,1,1,0,7,4,4,29,893,3,1,1,1,0,7,0,2,15,2,12,2,3,1,3,8,0,10,0,0,554
지능범죄,증수뢰,4,4,0,18,0,0,0,0,1,1,0,11,115,0,1,0,1,0,0,2,1,20,3,4,0,2,0,1,0,0,1,0,0,130
지능범죄,통화,3,1,0,15,0,10,13,0,23,14,0,5,13,0,0,0,2,0,4,0,0,0,254,2,1,0,0,0,0,0,0,0,0,92
지능범죄,문서?인장,255,228,17,780,3,11,213,11,242,58,36,223,3519,17,9,0,7,0,3,4,7,26,98,86,13,17,95,16,1,1,92,0,23,5148
지능범죄,유가증권인지,0,0,0,4,1,0,0,0,1,1,0,2,11,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,21
지능범죄,사기,9443,12024,856,43369,130,355,1863,73,5087,1199,1115,16606,26511,854,1447,81,416,60,1286,170,183,318,1329,1286,135,284,47,85,15,19,1188,4,237,197773
지능범죄,횡령,2218,759,125,24087,261,785,1217,200,2317,652,291,1455,3878,249,179,74,1897,987,2592,179,1122,167,517,301,65,103,5,1,1,5,1032,1068,169,11262
지능범죄,배임,158,33,0,143,5,5,4,2,45,18,8,39,1329,41,31,0,1,0,1,6,4,19,45,12,16,12,1,2,0,1,1,0,2,1622
풍속범죄,성풍속범죄,3382,2049,9,2214,20,46,78,17,176,115,604,252,267,2,2,1,436,417,183,7,166,244,5,50,4,20,0,24,2,0,46,925,265,10622
풍속범죄,도박범죄,247,525,0,80,1,3,2,0,81,42,29,236,904,11,1,29,1,0,1,23,41,0,1,0,1,4,0,8,0,0,2,0,117,2073
특별경제범죄,특별경제범죄,1407,943,23,4222,40,337,1331,52,2166,810,549,5888,6552,519,285,30,159,22,419,43,93,70,550,539,64,81,12,5,0,3,183,4,83,21131
마약범죄,마약범죄,1209,1938,6,1880,0,2,20,0,70,31,920,314,173,46,0,4,52,4,112,4,19,6,151,243,2,402,5,2,0,6,102,30,10,2568
보건범죄,보건범죄,958,423,2,1337,0,33,54,1,851,419,159,7441,671,48,1,7,15,0,4,70,47,9,4,977,13,113,0,0,0,2,19,1,150,3920
환경범죄,환경범죄,12,19,2,628,0,0,0,1,33,8,6,4,111,581,270,17,12,0,146,8,5,3,0,9,0,204,183,0,0,15,2,0,0,1198
교통범죄,교통범죄,106,37,7471,230183,0,2,3,0,48,53,7,14,76,10,21,1,10,4,62,3,6,6,0,7,1,51,64,0,0,3,692,0,0,2088
노동범죄,노동범죄,2,1,1,26,0,0,3,0,5,2,2,37,124,14,6,0,0,0,10,1,0,0,0,3,0,6,277,0,0,0,0,0,0,194
안보범죄,안보범죄,3,7,1,30,0,0,1,0,1,0,3,3,76,0,0,0,1,1,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,84
선거범죄,선거범죄,79,76,0,999,0,2,1,1,7,19,3,71,527,0,0,1,12,2,2,6,20,27,1,1,17,1,0,0,0,0,10,1,0,1083
병역범죄,병역범죄,317,411,0,212,0,0,0,0,21,3,22,0,352,2,0,0,5,0,2,1,6,15,0,7,0,0,0,405,0,1,0,0,0,2856
기타범죄,기타범죄,25525,16484,1195,48616,96,569,2150,82,2849,1400,2742,13059,19087,1542,1178,2130,4599,217,2972,344,896,2171,225,2112,413,2515,20344,325,32,72,2115,196,987,88725
