unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
EUR_KGOE,MT	3.66 	3.28 	3.45 	3.09 	2.95 	3.67 	3.55 	3.49 	3.46 	3.19 	2.85 	3.02 	3.29 	3.64 	3.83 	3.87 	3.71 	3.44 	3.54 	3.65 	3.58 	4.31 
EUR_KGOE,NL	6.11 	6.04 	6.01 	5.89 	5.88 	6.01 	6.19 	6.42 	6.64 	6.63 	6.39 	6.80 	6.80 	6.96 	7.40 	7.44 	7.52 	7.68 	8.04 	8.32 	8.35 	8.56 
EUR_KGOE,NO	10.56 	10.13 	11.14 	10.46 	10.27 	10.24 	10.44 	11.36 	10.39 	10.39 	9.85 	11.37 	10.97 	10.58 	11.75 	13.27 	12.20 	11.85 	11.90 	12.61 	12.78 	12.81 
EUR_KGOE,PL	2.76 	2.77 	2.86 	2.88 	3.02 	3.08 	3.11 	3.34 	3.44 	3.69 	3.53 	3.70 	3.91 	3.92 	4.22 	4.36 	4.28 	4.30 	4.36 	4.72 	4.76 	4.78 
EUR_KGOE,PT	6.41 	6.54 	6.33 	6.42 	6.31 	6.22 	6.62 	6.81 	6.98 	6.88 	7.23 	7.26 	7.38 	7.29 	7.25 	7.11 	7.23 	7.15 	7.53 	7.73 	7.97 	8.37 
EUR_KGOE,RO	2.31 	2.41 	2.46 	2.42 	2.71 	2.88 	3.01 	3.24 	3.56 	3.84 	3.66 	3.75 	3.91 	4.29 	4.51 	4.61 	4.76 	4.88 	5.17 	5.43 	5.38 	5.35 
EUR_KGOE,RS	1.47 	1.44 	1.44 	1.43 	1.43 	1.70 	1.68 	1.84 	1.91 	2.06 	2.02 	1.97 	2.19 	2.20 	2.42 	2.22 	2.20 	2.21 	2.34 	2.46 	2.35 	2.49 
EUR_KGOE,SE	6.14 	5.88 	5.90 	6.12 	6.11 	6.43 	6.88 	7.15 	7.16 	7.54 	7.15 	7.36 	7.34 	7.55 	7.82 	8.54 	8.33 	8.29 	8.42 	8.77 	9.39 	9.37 
EUR_KGOE,SI	4.24 	4.12 	4.25 	4.31 	4.38 	4.37 	4.65 	4.90 	4.80 	5.06 	5.00 	5.04 	5.09 	5.16 	5.49 	5.66 	5.61 	5.69 	5.94 	6.28 	6.43 	6.78 
EUR_KGOE,SK	2.37 	2.35 	2.43 	2.58 	2.76 	2.87 	3.14 	3.64 	3.73 	3.86 	3.88 	4.11 	4.32 	4.30 	4.69 	4.78 	4.85 	4.73 	4.98 	5.11 	5.11 	4.87 
