animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A2000,HD,RO	: 	23339 	19870 	19358 	16872 	19339 	20093 	29313 	33782 	20113 	: 
A2000,HD,RS	: 	: 	3627 	3556 	3594 	2474 	2560 	2593 	2557 	1853 	: 
A2000,HD,SE	: 	329851 	331735 	333245 	332294 	307120 	296260 	285774 	281320 	285670 	282026 
A2000,HD,SI	: 	38836 	37904 	37126 	35751 	35095 	33397 	30592 	27359 	25168 	22977 
A2000,HD,SK	: 	59636 e	61977 	61432 	63340 	55906 	65724 	58945 	44772 	43142 	43293 
A2000,HD,TR	: 	8109 	7888 	4751 	5113 	6632 	7234 	8234 	9746 	47715 	: 
A2000,HD,UK	: 	: 	: 	300788 	324202 	296172 	296572 	293138 	304355 	283336 	290212 
A2000B,HD,AT	: 	: 	22041 	22085 	21071 	20524 	32988 	25773 	4397 	: 	: 
A2000B,HD,BE	: 	: 	6155 	7235 	6605 	6479 	3010 	3480 	4455 	1833 	: 
A2000B,HD,BG	: 	: 	6915 	6060 	5929 	4699 	5370 	1769 	547 	536 	389 
A2000B,HD,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A2000B,HD,CZ	: 	: 	10001 	18089 	20169 	14286 	12977 	12761 	13773 	13468 	7914 
A2000B,HD,DE	: 	: 	102400 	93813 	81619 	81587 	75500 	68049 	65600 	63400 	59586 
A2000B,HD,DK	: 	: 	124003 	120549 	116218 	105062 	85800 	82096 	95617 	94729 	109464 
A2000B,HD,EE	: 	: 	25146 	23645 	22854 	22087 	20057 	19088 	18269 	18163 	15232 
A2000B,HD,EL	: 	: 	66424 	54361 	49303 	17352 	26002 	24150 	23003 	22774 	18216 
A2000B,HD,ES	: 	: 	201920 	199661 	196461 	190724 	186232 	177164 	158524 	130957 	143068 
A2000B,HD,FI	: 	: 	30736 	29551 	26125 	25288 	23021 	21141 	18008 	17107 	15869 
A2000B,HD,FR	: 	: 	230567 e	272153 e	192561 	166768 	147562 	151602 	140097 	143966 	117694 
A2000B,HD,HR	: 	: 	1349 	1599 	1811 	2753 	2509 	858 	2270 	2721 	2791 
A2000B,HD,HU	: 	: 	21983 	22348 	13482 	11436 	14769 	14199 	14585 	15335 	15228 
A2000B,HD,IE	: 	: 	15248 	15968 	15284 	10873 	15046 	12135 	12772 	10445 	6558 
A2000B,HD,IS	: 	: 	0 	12 	0 	: 	: 	: 	: 	: 	: 
A2000B,HD,IT	: 	: 	231718 	: 	167032 	144626 	145307 	103299 	69786 	81904 	70774 
A2000B,HD,LT	: 	: 	12614 	11894 	11347 	10416 	9334 	6091 	13889 	12023 	7947 
A2000B,HD,LU	: 	: 	916 	891 	808 	590 	538 	523 	520 	467 	501 
A2000B,HD,LV	: 	: 	33534 	31536 	28978 	27111 	24601 	20018 	16307 	16396 	19042 
