crops,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
C1600_1700_1900,T,FI	: 	: 	: 	: 	: n	: n	: n	: n	: n	0 	: 
C1600_1700_1900,T,FR	: 	: 	61088 e	95348 	68589 	52045 	32503 	: 	: 	: 	: 
C1600_1700_1900,T,HR	: 	: 	3931 	4067 	3400 	2607 	2651 	2482 	648 	632 	495 
C1600_1700_1900,T,HU	: 	: 	8062 	8286 	6471 	5283 	5438 	5412 	8625 	5284 	5482 
C1600_1700_1900,T,IE	: 	: 	313 	195 	125 	50 	307 	274 	: 	: 	: 
C1600_1700_1900,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C1600_1700_1900,T,IT	: 	: 	: 	: 	: 	84454 	66013 	69357 	64645 	: 	92987 
C1600_1700_1900,T,LT	: 	: 	30349 	32151 	22280 	31807 	26487 	32750 	26008 	24304 	22250 
C1600_1700_1900,T,LU	: 	: 	439 	400 	453 	537 	352 	480 	390 	417 	565 
C1600_1700_1900,T,LV	: 	: 	9138 	8935 	: 	5581 	5558 	4243 	3678 	3469 	3233 
C1600_1700_1900,T,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C1600_1700_1900,T,NL	: 	: 	2180 	3035 	1861 	1702 	3030 e	3508 	: 	1791 	2944 
C1600_1700_1900,T,NO	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
C1600_1700_1900,T,PL	: 	: 	57425 	55482 	48938 	58434 	48282 	47181 	44472 	35586 	32173 
C1600_1700_1900,T,RO	: 	: 	2592 	3640 	2269 	2092 	2255 	1684 	7074 	2780 	5729 
C1600_1700_1900,T,RS	: 	: 	760 	56176 	263 	277 	105 	4322 	70 	432 	: 
C1600_1700_1900,T,SE	: 	: 	16600 	13700 	5500 	12000 	12200 	36100 	35100 	30500 	23000 
C1600_1700_1900,T,SI	: 	: 	918 	905 	1203 	907 	597 	552 	488 	735 	774 
C1600_1700_1900,T,SK	: 	: 	6499 	5579 	6128 	6920 	9232 	10958 	7831 	3345 	4455 
C1600_1700_1900,T,TR	: 	: 	8671 	3077 	3798 	1597 	1433 	3166 	834 	736 	: 
C1600_1700_1900,T,UK	: 	: 	: 	: c	9745 	5731 	4222 	4563 	7060 	6152 	: 
C1700,T,BG	109 	169 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,CY	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,CZ	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,EE	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,FI	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,FR	: 	20021 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,LU	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,LV	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,ME	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,NL	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,RO	: 	437 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,SE	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,SK	: 	1111 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1700,T,TR	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C2000,T,BE	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
C2000,T,BG	606 	788 	1324 	139 	0 	0 	0 	0 	0 	0 	: 
C2000,T,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C2000,T,CZ	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,DE	0 n	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
C2000,T,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,EL	: 	: 	7132 	9157 	7756 	5092 	4671 	1974 	2331 	528 	: 
C2000,T,ES	: 	4416 	6590 	5745 	4322 	5994 	5033 	1802 	3298 	1863 	1506 
C2000,T,FI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C2000,T,FR	: 	15246 e	12205 e	14497 	11578 	14373 	: 	: 	: 	: 	: 
C2000,T,HR	: 	0 	0 	0 	: 	: 	: 	0 	0 	0 	0 
C2000,T,HU	: 	2859 e	2284 	2286 	1680 	1127 	769 	773 	352 	268 	270 
C2000,T,IE	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
C2000,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C2000,T,IT	: 	: 	: 	: 	: 	73201 	62725 	40611 	33493 	: 	44256 
C2000,T,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,LV	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 
C2000,T,ME	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
C2000,T,MK	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
C2000,T,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C2000,T,NL	: 	0 	0 	0 	0 	0 	0 e	0 	: 	: 	: 
C2000,T,NO	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	: 
C2000,T,PL	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 
C2000,T,RO	: 	5616 	7000 	9236 	8506 	10559 	9743 	15473 	12521 	6158 	5314 
C2000,T,RS	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C2000,T,SE	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C2000,T,SI	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,SK	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C2000,T,TR	: 	707 	3397 	3649 	2222 	2607 	673 	66 	103 	96 	: 
C2000,T,UK	: 	: 	: 	0 	0 	0 	0 n	: n	0 n	0 	: 
F0000,T,AL	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F0000,T,BE	: 	7069 	6227 	5645 	4641 	3792 	4338 	: 	: 	: 	: 
F0000,T,BG	23039 	23588 	24724 	21941 	19819 	12127 	14048 	7765 	6278 	: 	: 
F0000,T,CY	: 	3977 	3444 	2226 	2019 	1587 	1559 	806 	1241 	: 	: 
F0000,T,CZ	: 	5710 	5932 	7086 	5503 	4548 	5519 	5154 	5977 	: 	: 
F0000,T,EE	1187 	1199 	600 	695 	918 	443 	1326 	407 	291 	: 	: 
F0000,T,EL	: 	: 	21401 	30725 	18121 	17968 	12474 	20944 	17686 	: 	: 
F0000,T,ES	: 	249157 	208962 	202233 	213088 	133443 	105604 	130198 	109351 	: 	: 
F0000,T,FI	: 	468 	298 	274 	305 	522 	283 	194 	172 	: 	: 
F0000,T,HR	: 	4242 	4081 	7061 	7407 	5028 	4075 	6316 	1370 	: 	: 
F0000,T,HU	: 	34170 e	24826 	27471 	26346 	9237 	8266 	7880 	11195 	: 	: 
F0000,T,IE	: 	271 e	262 	217 	245 	247 	225 	227 	: 	: 	: 
F0000,T,IS	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
F0000,T,IT	: 	: 	: 	: 	: 	380695 	380776 	242076 	166139 	: 	: 
F0000,T,LT	: 	5307 	4456 	2610 	9360 	5745 	5797 	4341 	6609 	: 	: 
F0000,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F0000,T,LV	: 	2932 	4115 	2574 	: 	1785 	2070 	1476 	2123 	: 	: 
F0000,T,ME	350 	206 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F0000,T,MK	: 	373 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F0000,T,MT	: 	1 	0 n	0 n	0 n	0 	1 	0 	0 	: 	: 
F0000,T,NL	: 	11818 e	10365 	11468 	9379 	9688 	11339 e	9765 	: 	: 	: 
F0000,T,NO	: 	1349 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F0000,T,PL	: 	193842 	153885 	125785 	112048 	46940 	50468 	48342 	43449 	: 	: 
F0000,T,RO	: 	21758 	17744 	21418 	12934 	12931 	16330 	7098 	10002 	: 	: 
F0000,T,RS	: 	: 	841697 	15240 	33721 	5084 	22659 	11958 	3346 	: 	: 
F0000,T,SE	: 	3241 	2896 	2008 	: 	: 	: 	: 	: 	: 	: 
F0000,T,SI	: 	: 	5310 	1521 	2648 	294 	741 	1011 	527 	: 	: 
F0000,T,SK	: 	802 e	2170 	1308 	45571 	2183 	69 	4140 	6311 	: 	: 
F0000,T,TR	: 	361375 	363856 	368870 	381351 	304356 	276468 	168084 	139008 	: 	: 
F0000,T,UK	: 	: 	: 	15748 	14227 	13560 	16530 	16178 	16904 	: 	: 
F1000,T,AL	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1000,T,BE	: 	6519 	5668 	5053 	4193 	3391 	4004 	: 	: 	: 	: 
F1000,T,BG	18933 	18726 	19995 	17282 	14758 	7725 	10366 	4889 	3622 	1408 	: 
F1000,T,CY	: 	1277 	921 	517 	810 	740 	809 	594 	641 	884 	: 
F1000,T,CZ	: 	5358 	5526 	6750 	5196 	4099 	5086 	4901 	5559 	6680 	3378 
F1000,T,EE	345 	553 	317 	452 	553 	165 	1191 	259 	228 	289 	135 
F1000,T,EL	: 	: 	10130 	16482 	6466 	6659 	5024 	7895 	9233 	3870 	: 
F1000,T,ES	: 	81677 	74663 	61565 	52689 	40112 	40860 	50814 	53938 	45087 	58248 
F1000,T,FI	: 	151 	107 	116 	153 	346 	123 	70 	55 	50 	124 
F1000,T,HR	: 	3007 	2687 	5310 	5387 	3123 	2751 	4567 	1154 	1486 	279 
F1000,T,HU	: 	31490 e	21389 	24353 	23865 	6737 	6222 	6009 	8900 	8374 	5189 
F1000,T,IE	: 	248 	231 	215 	227 	247 	221 	220 	: 	: 	: 
F1000,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1000,T,IT	: 	: 	: 	: 	: 	261553 	233022 	155550 	111322 	: 	143077 
F1000,T,LT	: 	3781 	2953 	1636 	7408 	4221 	4210 	2707 	5588 	6308 	4276 
F1000,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F1000,T,LV	: 	1624 	2729 	2022 	: 	1428 	1608 	1122 	1871 	1447 	887 
F1000,T,ME	296 	165 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1000,T,MK	: 	255 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1000,T,MT	: 	0 	0 n	0 n	0 n	0 	0 	0 	0 	: 	: 
F1000,T,NL	: 	11818 e	10365 	11468 	9379 	9688 	11339 e	9765 	: 	: 	: 
F1000,T,NO	: 	1200 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1000,T,PL	: 	145529 	111211 	82460 	67823 	15655 	18413 	17134 	17259 	14594 	19882 
F1000,T,RO	: 	14622 	11779 	15905 	11080 	12108 	11695 	6434 	8277 	5749 	: 
F1000,T,RS	: 	: 	51508 	14307 	30868 	3866 	18013 	7038 	1540 	9478 	: 
F1000,T,SE	: 	3003 	2701 	1681 	: 	: 	: 	: 	: 	: 	: 
F1000,T,SI	: 	: 	4823 	1155 	2258 	93 	475 	799 	461 	1792 	1187 
F1000,T,SK	: 	518 e	1927 	1285 	45334 	2130 	67 	4097 	6256 	4386 	: 
F1000,T,TR	: 	196349 	196874 	208331 	191316 	139431 	168919 	89997 	52041 	79997 	: 
F1000,T,UK	: 	: 	: 	12782 	11383 	11203 	14177 	15420 	15807 	17810 	: 
F1100,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1100,T,BE	: 	6296 	5519 	4955 	4102 	3266 	3523 	: 	: 	: 	: 
F1100,T,BG	6523 	4738 	6082 	3254 	6028 	3067 	2621 	1507 	1145 	: 	: 
F1100,T,CY	: 	703 	467 	183 	308 	299 	311 	156 	187 	: 	: 
F1100,T,CZ	: 	3536 	3983 	5214 	3390 	2995 	3505 	3216 	3572 	: 	: 
F1100,T,EE	344 	551 	317 	452 	552 	165 	1190 	167 	228 	: 	: 
F1100,T,EL	: 	: 	5058 	11210 	3715 	2902 	2723 	5080 	5489 	: 	: 
F1100,T,ES	: 	27299 	24165 	22519 	16724 	16478 	14864 	16508 	16456 	: 	: 
F1100,T,FI	: 	151 	107 	116 	153 	346 	123 	70 	55 	: 	124 
F1100,T,HR	: 	2292 	1409 	3135 	2926 	1704 	1210 	2604 	632 	: 	: 
F1100,T,HU	: 	29438 e	19535 	21798 	22165 	5348 	5022 	4501 	7082 	: 	: 
F1100,T,IE	: 	241 	224 	215 	217 	246 	220 	218 	: 	: 	: 
F1100,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1100,T,IT	: 	: 	: 	: 	: 	167134 	155203 	83594 	60767 	: 	: 
F1100,T,LT	: 	3775 	2945 	1633 	7403 	4211 	4205 	2314 	4975 	: 	: 
F1100,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F1100,T,LV	: 	1371 	2536 	1848 	: 	1331 	1531 	938 	1796 	: 	: 
F1100,T,ME	172 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1100,T,MK	: 	144 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1100,T,MT	: 	0 	0 n	0 n	0 n	0 	0 	0 	0 	: 	: 
F1100,T,NL	: 	11818 e	10365 	11468 	9379 	9688 	11339 e	9765 	: 	: 	: 
F1100,T,NO	: 	1052 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1100,T,PL	: 	141849 	107927 	79476 	65366 	14863 	16937 	15522 	15426 	: 	: 
F1100,T,RO	: 	8707 	7469 	12976 	8162 	7995 	7983 	4197 	6118 	: 	: 
F1100,T,RS	: 	: 	11340 	13231 	27859 	1796 	14546 	3990 	185 	: 	: 
F1100,T,SE	: 	2975 	2619 	1676 	: 	: 	: 	: 	: 	: 	: 
F1100,T,SI	: 	: 	4771 	1077 	2159 	84 	458 	786 	443 	: 	: 
F1100,T,SK	: 	474 e	1909 	1238 	44569 	1155 	62 	4037 	6160 	: 	: 
F1100,T,TR	: 	90005 	99718 	111841 	100505 	75668 	67760 	57515 	38678 	: 	: 
F1100,T,UK	: 	: 	: 	12488 	11040 	10426 	13821 	14515 	15097 	: 	: 
F1110,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1110,T,BE	: 	4232 	3841 	3826 	3106 	2463 	2541 	: 	: 	: 	: 
F1110,T,BG	6184 	4414 	5773 	2858 	5417 	2990 	2309 	1460 	1111 	18 	: 
F1110,T,CY	: 	: 	146 	154 	144 	112 	121 	130 	138 	153 	: 
F1110,T,CZ	: 	3162 	3480 	4820 	3025 	2698 	3256 	2881 	3054 	3093 	1955 
F1110,T,EE	328 	537 	306 	445 	547 	162 	1186 	164 	227 	203 	: 
F1110,T,EL	: 	: 	3406 	3427 	2970 	1726 	1920 	3859 	4474 	1200 	: 
F1110,T,ES	: 	20285 	16894 	15187 	12193 	12434 	11177 	13419 	13664 	4903 	4427 
F1110,T,FI	: 	151 	107 	116 	153 	346 	123 	70 	55 	50 	124 
F1110,T,HR	: 	2085 	1329 	2982 	2483 	1571 	1072 	2338 	604 	1061 	232 
F1110,T,HU	: 	27961 e	18477 	21194 	21934 	5096 	4799 	4167 	6903 	6293 	4007 
F1110,T,IE	: 	240 	223 	214 	213 	246 	220 	213 	: 	: 	: 
F1110,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1110,T,IT	: 	: 	: 	: 	: 	114827 	113593 	45798 	46628 	: 	33068 
F1110,T,LT	: 	3588 	2396 	1216 	6748 	3916 	3677 	2301 	4972 	5731 	3655 
F1110,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F1110,T,LV	: 	1326 	2468 	1796 	: 	1291 	1447 	899 	1663 	1295 	748 
F1110,T,ME	128 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1110,T,MK	: 	138 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1110,T,MT	: 	0 	0 	0 n	0 	0 	0 	0 	0 	: 	: 
F1110,T,NL	: 	7632 e	6290 	7820 	6053 	4701 	7441 e	6902 	: 	: 	: 
F1110,T,NO	: 	1040 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1110,T,PL	: 	137871 	105602 	77917 	64377 	14506 	16525 	15189 	15231 	12167 	17774 
F1110,T,RO	: 	8098 	6702 	12653 	7978 	7056 	7003 	3709 	6032 	4182 	2091 
F1110,T,RS	: 	: 	10973 	12380 	25500 	1664 	14071 	3539 	123 	7339 	: 
F1110,T,SE	: 	2944 	2543 	1664 	: 	: 	: 	: 	: 	: 	: 
F1110,T,SI	: 	: 	4683 	1050 	2061 	79 	428 	728 	378 	462 	258 
F1110,T,SK	: 	470 e	1900 	1234 	35359 	1154 	62 	4032 	6159 	4364 	6106 
F1110,T,TR	: 	87183 	93737 	109262 	98136 	73175 	65398 	55110 	36686 	37293 	: 
F1110,T,UK	: 	: 	: 	11779 	10418 	9747 	13042 	13775 	14240 	17035 	: 
F1120,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1120,T,BE	: 	2064 	1677 	1128 	996 	802 	982 	: 	: 	: 	: 
F1120,T,BG	318 	315 	283 	360 	316 	77 	312 	34 	32 	0 	: 
F1120,T,CY	: 	: 	36 	29 	25 	21 	22 	25 	29 	36 	: 
F1120,T,CZ	: 	373 	503 	394 	364 	297 	249 	335 	518 	682 	409 
F1120,T,EE	10 	7 	4 	5 	4 	2 	3 	3 	0 	0 	: 
F1120,T,EL	: 	: 	1652 	1754 	745 	1150 	803 	1221 	1015 	641 	: 
F1120,T,ES	: 	5831 	5175 	5228 	3133 	2806 	3460 	2688 	2792 	2313 	2417 
F1120,T,FI	: 	0 	: 	: 	: n	: n	: n	: n	: n	0 	: 
F1120,T,HR	: 	190 	64 	143 	428 	124 	136 	230 	18 	23 	7 
F1120,T,HU	: 	1477 e	1058 	604 	231 	252 	223 	334 	179 	231 	73 
F1120,T,IE	: 	1 	1 	1 	4 	0 	0 	5 	: 	: 	: 
F1120,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1120,T,IT	: 	: 	: 	: 	: 	28352 	25280 	17141 	14139 	: 	19874 
F1120,T,LT	: 	4 	5 	5 	16 	6 	7 	12 	3 	4 	4 
F1120,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F1120,T,LV	: 	45 	68 	51 	: 	41 	84 	40 	59 	51 	32 
F1120,T,ME	44 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1120,T,MK	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1120,T,MT	: 	0 	0 	0 	0 n	0 	0 	0 	0 	: 	: 
F1120,T,NL	: 	4185 e	4075 	3648 	3326 	4987 	3898 e	2863 	: 	: 	: 
F1120,T,NO	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1120,T,PL	: 	3978 	2325 	1559 	990 	357 	412 	333 	195 	314 	212 
F1120,T,RO	: 	371 	310 	231 	65 	204 	217 	78 	86 	141 	: 
F1120,T,RS	: 	: 	363 	844 	2354 	126 	473 	60 	15 	1 	: 
F1120,T,SE	: 	32 	76 	11 	: 	: 	: 	: 	: 	: 	: 
F1120,T,SI	: 	: 	85 	27 	68 	5 	30 	59 	65 	43 	7 
F1120,T,SK	: 	3 e	8 	4 	9210 	0 	0 	5 	1 	2 	1 
F1120,T,TR	: 	2822 	5234 	2404 	2097 	2257 	2191 	2287 	1693 	1759 	: 
F1120,T,UK	: 	: 	: 	709 	622 	679 	779 	740 	857 	775 	: 
F1190,T,BE	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
F1190,T,BG	: 	: 	26 	36 	295 	0 	0 	13 	2 	: 	: 
F1190,T,CY	: 	: 	286 	: 	138 	166 	169 	: 	20 	: 	: 
F1190,T,EE	: 	: 	8 	2 	1 	1 	: 	: 	: 	: 	: 
F1190,T,ES	: 	: 	2097 	2105 	1398 	1238 	226 	401 	: 	: 	: 
F1190,T,FI	: 	: 	: 	: 	: n	: n	: 	: 	: 	: 	: 
F1190,T,HR	: 	: 	16 	10 	15 	9 	2 	36 	10 	: 	: 
F1190,T,HU	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
F1190,T,IE	: 	: 	: 	0 	: 	: 	: 	0 	: 	: 	: 
F1190,T,IT	: 	: 	: 	: 	: 	23955 	16330 	20655 	: 	: 	: 
F1190,T,LT	: 	: 	544 	411 	639 	289 	521 	0 	0 	: 	: 
F1190,T,LV	: 	: 	0 	0 	: 	0 	0 	0 	75 	: 	: 
F1190,T,MT	: 	: 	0 n	0 n	0 	0 	0 	0 	: 	: 	: 
F1190,T,NL	: 	: 	: 	0 	0 	0 	: n	: 	: 	: 	: 
F1190,T,NO	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
F1190,T,PL	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
F1190,T,RO	: 	: 	457 	92 	119 	735 	763 	409 	: 	: 	: 
F1190,T,RS	: 	: 	4 	8 	5 	6 	2 	391 	47 	: 	: 
F1190,T,SE	: 	: 	0 	0 	: 	: 	: 	: n	: 	: 	: 
F1190,T,SI	: 	: 	3 	0 n	30 	0 	: 	: 	: 	: 	: 
F1190,T,SK	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 
F1190,T,TR	: 	: 	747 	175 	272 	236 	171 	118 	298 	: 	: 
F1200,T,AL	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1200,T,BE	: 	223 	149 	98 	91 	126 	481 	: 	: 	: 	: 
F1200,T,BG	12410 	13988 	13912 	14028 	8730 	4658 	7745 	3381 	2478 	: 	: 
F1200,T,CY	: 	573 	454 	334 	502 	441 	497 	439 	455 	: 	: 
F1200,T,CZ	: 	1822 	1543 	1536 	1806 	1104 	1581 	1686 	1987 	: 	: 
F1200,T,EE	1 	2 	0 n	0 n	1 	0 	1 	91 	0 	: 	: 
F1200,T,EL	: 	: 	5072 	5272 	2750 	3757 	2301 	2815 	3744 	: 	: 
F1200,T,ES	: 	54378 	50498 	39046 	35966 	23634 	25996 	34305 	37482 	: 	: 
F1200,T,FI	: 	0 	: 	: 	: n	: n	: n	: n	: n	: 	: 
F1200,T,HR	: 	715 	1278 	2175 	2461 	1419 	1541 	1963 	522 	: 	: 
F1200,T,HU	: 	2052 e	1854 	2555 	1700 	1389 	1200 	1508 	1818 	: 	: 
F1200,T,IE	: 	7 	7 	: 	10 	1 	1 	2 	: 	: 	: 
F1200,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1200,T,IT	: 	: 	: 	: 	: 	94419 	77819 	71956 	50554 	: 	: 
F1200,T,LT	: 	6 	8 	3 	5 	10 	4 	394 	613 	: 	: 
F1200,T,LU	: 	: 	: 	: 	: n	: n	: n	: n	: n	: n	: n
F1200,T,LV	: 	253 	193 	174 	: 	97 	77 	184 	75 	: 	: 
F1200,T,ME	124 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1200,T,MK	: 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1200,T,MT	: 	0 	0 n	0 n	0 n	0 	0 	0 	0 	: 	: 
F1200,T,NL	: 	: 	: 	: 	: 	: 	: n	: 	: 	: 	: 
F1200,T,NO	: 	147 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1200,T,PL	: 	3680 	3285 	2984 	2457 	792 	1476 	1612 	1833 	: 	: 
F1200,T,RO	: 	5915 	4310 	2929 	2918 	4113 	3712 	2238 	2160 	: 	: 
F1200,T,RS	: 	: 	40168 	1077 	3009 	2070 	3467 	3048 	1355 	: 	: 
F1200,T,SE	: 	27 	82 	5 	: 	0 	: 	: n	: 	: 	: 
F1200,T,SI	: 	: 	52 	78 	99 	9 	17 	13 	19 	: 	: 
F1200,T,SK	: 	45 e	19 	47 	765 	976 	4 	60 	96 	: 	: 
F1200,T,TR	: 	106344 	97155 	96489 	90811 	63763 	101160 	32483 	13363 	: 	: 
F1200,T,UK	: 	: 	: 	294 	343 	777 	356 	905 	710 	: 	: 
F1210,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1210,T,BE	: 	0 n	: 	: 	: n	: n	: n	: 	: 	: 	: 
F1210,T,BG	507 	652 	784 	700 	905 	178 	363 	21 	10 	89 	: 
F1210,T,CY	: 	: 	4 	0 	2 	0 	35 	41 	44 	43 	: 
F1210,T,CZ	: 	25 	21 	27 	32 	24 	17 	55 	81 	117 	44 
F1210,T,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
F1210,T,EL	: 	: 	1508 	1549 	735 	833 	705 	1517 	2070 	660 	: 
F1210,T,ES	: 	9987 	8934 	6894 	5898 	3869 	4206 	5466 	5091 	4665 	4553 
F1210,T,FI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
F1210,T,HR	: 	20 	25 	70 	102 	68 	18 	183 	14 	5 	2 
F1210,T,HU	: 	76 e	209 	177 	66 	158 	127 	109 	123 	132 	38 
F1210,T,IE	: 	0 	0 	0 	3 	0 	0 	0 	: 	: 	: 
F1210,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F1210,T,IT	: 	: 	: 	: 	: 	20180 	27069 	17155 	12307 	: 	18220 
F1210,T,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F1210,T,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F1210,T,LV	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 
F1210,T,ME	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1210,T,MK	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1210,T,MT	: 	0 	0 n	0 n	0 	0 	0 	0 	0 	: 	: 
F1210,T,NL	: 	0 	0 	0 	0 	0 	0 e	0 	: 	: 	: 
F1210,T,NO	: 	0 	0 	: 	: 	: 	: 	: 	0 	0 	: 
F1210,T,PL	: 	20 	34 	26 	25 	13 	37 	48 	73 	133 	47 
F1210,T,RO	: 	16 	50 	23 	11 	64 	56 	145 	89 	114 	: 
F1210,T,RS	: 	: 	58 	9 	3 	0 	6 	20 	10 	1 	: 
F1210,T,SE	: 	0 	0 	0 	: 	0 	0 	0 	0 	: 	: 
F1210,T,SI	: 	: 	27 	59 	68 	1 	4 	5 	6 	9 	7 
F1210,T,SK	: 	: 	0 n	0 	0 	3 	0 	14 	4 	1 	8 
F1210,T,TR	: 	1455 	1306 	674 	783 	804 	613 	476 	588 	696 	: 
F1210,T,UK	: 	: 	: 	0 	0 	0 	0 	0 	0 n	0 	: 
F1220,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F1220,T,BE	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F1220,T,BG	0 	0 	11 	39 	67 	75 	4 	0 	37 	0 	: 
F1220,T,CY	: 	: 	20 	10 	17 	0 	8 	11 	11 	9 	: 
F1220,T,CZ	: 	1 	0 n	1 	7 	1 	4 	0 	12 	4 	0 
F1220,T,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
F1220,T,EL	: 	: 	471 	604 	501 	691 	367 	282 	325 	183 	: 
