na_item,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
B1GQ,CP_MEUR,BG	41478.9 	42256.8 	42050.2 	43026.0 	45812.3 	48773.1 	52531.3 	56224.8 	61558.5 	61638.9 	71077.0 	84560.6 p
B1GQ,CP_MEUR,CH	515770.5 	534012.8 	531729.1 	548014.5 	625532.7 	621765.1 	615776.3 	614304.4 	644443.2 	650742.6 	687568.4 p	777804.6 p
B1GQ,CP_MEUR,CY	19858.1 	19495.4 	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21674.0 	23176.5 	21896.5 	24019.0 	27006.4 p
B1GQ,CP_MEUR,CZ	165202.2 	162587.5 	159461.5 	157821.3 	169558.2 	177438.5 	194132.9 	210970.5 	225613.5 	215805.4 	238249.5 	276229.4 
B1GQ,CP_MEUR,DE	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3267160.0 	3365450.0 	3474110.0 p	3403730.0 p	3617450.0 p	3876810.0 p
B1GQ,CP_MEUR,DK	247879.9 	254578.0 	258742.7 	265757.0 	273017.6 	283109.7 	294808.2 	302328.7 	309526.4 	311356.3 	342961.7 	380617.8 
B1GQ,CP_MEUR,EA19	9797740.2 	9837015.1 	9935971.7 	10169843.9 	10523622.5 	10816813.4 	11224918.0 	11600154.4 	11987140.7 	11465225.6 	12359895.3 	13360337.4 
B1GQ,CP_MEUR,EA20	9843290.0 	9881636.3 	9980408.8 	10213833.0 	10568880.5 	10864152.1 	11274903.9 	11652901.6 	12042785.1 	11515676.5 	12418186.3 	13427276.4 
B1GQ,CP_MEUR,EE	16677.3 	17916.7 	18910.8 	20048.2 	20631.4 	21747.9 	23833.6 	25932.2 	27951.0 	27430.0 	31169.0 	36011.1 
B1GQ,CP_MEUR,EL	203308.2 	188380.6 	179884.4 	177236.0 	176368.9 	174494.2 	176903.4 	179557.7 	183351.2 	165405.9 p	181674.6 p	208030.2 p
B1GQ,CP_MEUR,ES	1063763.0 	1031104.0 	1020677.0 	1032608.0 	1078092.0 	1114420.0 	1162492.0 	1203859.0 	1245513.0 	1119010.0 	1222290.0 p	1346377.0 p
B1GQ,CP_MEUR,EU27_2020	11328410.9 	11396052.5 	11516038.9 	11782469.9 	12215676.8 	12548225.2 	13075598.0 	13534230.1 	14019590.6 	13469533.3 	14582979.6 	15844247.7 
B1GQ,CP_MEUR,FI	197998.0 	201037.0 	204321.0 	206897.0 	211385.0 	217518.0 	226301.0 	233462.0 	239858.0 	238038.0 	250923.0 	268645.0 
B1GQ,CP_MEUR,FR	2058369.0 	2088804.0 	2117189.0 	2149765.0 	2198432.0 	2234129.0 	2297242.0 	2363306.0 	2437635.0 	2317832.0 	2502118.0 p	2639092.0 p
B1GQ,CP_MEUR,HR	45549.9 	44621.2 	44437.1 	43989.1 	45257.9 	47338.7 	49985.9 	52747.2 	55644.4 	50450.9 	58290.9 p	66939.0 p
B1GQ,CP_MEUR,HU	102152.0 	100247.6 	102239.7 	106263.8 	112791.0 	116255.7 	127024.7 	136055.4 	146554.5 	137866.0 	154120.1 	170246.8 p
B1GQ,CP_MEUR,IE	171823.5 	175218.5 	179285.6 	195469.9 	263506.8 	269724.8 	298528.3 	327441.4 	356357.4 	375249.6 	434069.7 	506282.4 
B1GQ,CP_MEUR,IS	10934.3 	11479.9 	12132.9 	13472.6 	15795.3 	18804.2 	21917.7 	22238.3 	22043.3 	18891.7 	21647.7 	26691.3 
B1GQ,CP_MEUR,IT	1648755.8 	1624358.7 	1612751.3 	1627405.6 	1655355.0 	1695786.8 	1736592.8 	1771391.2 	1796648.5 	1661239.8 	1822344.5 	1946479.1 
B1GQ,CP_MEUR,LI	: 	: 	4812.4 	5021.7 	5649.1 	5637.7 	5734.6 	5666.3 	5750.1 	5617.9 p	6075.3 e	: 
B1GQ,CP_MEUR,LT	31317.2 	33410.2 	35039.5 	36581.3 	37345.7 	38889.9 	42276.3 	45515.2 	48916.4 	49829.3 	56153.5 	66791.1 
B1GQ,CP_MEUR,LU	44323.5 	46526.2 	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60121.2 	62431.5 	64524.3 	72360.9 	77529.0 
B1GQ,CP_MEUR,LV	19666.0 	22097.5 	22791.3 	23625.8 	24572.1 	25371.3 	26984.4 	29153.6 	30678.6 	30265.1 	33616.5 	39062.5 
B1GQ,CP_MEUR,ME	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	4299.1 	4663.1 	4950.7 	4185.6 	4955.1 	5924.0 
B1GQ,CP_MEUR,MK	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11262.0 	10851.7 	11688.2 p	12897.8 e
B1GQ,CP_MEUR,MT	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10541.1 	11936.6 	13044.0 	14285.6 	13353.8 	15292.6 	17212.5 
B1GQ,CP_MEUR,NL	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	813055.0 	796530.0 	870587.0 	958549.0 p
