firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
76,28424870,9.99,290,0,3,40,2,80,0,1,0,0.027586207,0.017241379
77,6617510,3.08,625,0,4,32,3,0,1,2,1,0.0656,0.0144
78,-5212148,-10.41,389,0.030848329,4,22,4,450,1,4,0,0.042440318,0.066312997
79,1847732,6.92,213,0.075117371,4,24,3,10,0,3,0,0.060913706,0.010152284
80,5181221,2.54,586,0,3,16,3,110,1,4,0,0.027303754,0.017064846
81,4851071,3.32,464,0.068965517,3,8,1,120,1,3,0,0.009259259,0
82,-2061462,-3.2,115,0,3,48,0,0,1,2,0,0,0.017391304
83,156157074,39.82,528,0.138257576,8,16,3,120,0,1,0,0.050549451,0.015384615
84,-882288,-0.57,123,0.008130081,3,116,4,5,0,2,0,0.016393443,0
85,2592046,2.13,160,0,3,38,2,100,1,2,0,0.0125,0
86,-2980807,-2.27,180,0,3,5,3,0,1,1,1,0.016666667,0
87,148109,0.08,141,0,3,4,0,450,0,2,0,0.14893617,0.007092199
88,4393917,11.62,886,0.015801354,4,80,5,0,1,2,0,0.002293578,0
89,1774946,3.01,136,0,3,12,0,50,0,1,0,0.014705882,0.029411765
90,5006961,3.2,180,0.138888889,3,15,2,0,1,3,0,0.006451613,0
91,-3053395,-6.23,232,0.137931034,5,15,2,0,0,1,1,0.06,0.015
92,18337570,19.65,192,0.0625,4,14,4,230,1,4,0,0.038888889,0.022222222
93,187364313,7.76,592,0.032094595,4,10,3,20,1,1,1,0.059336824,0.005235602
94,6325979,6.44,143,0.020979021,3,136,5,200,0,1,0,0.142857143,0.078571429
95,-17683209,-16.88,307,0.019543974,3,15,5,0,0,1,0,0.026578073,0.106312292
96,87009000,38.94,194,0.180412371,9,15,4,120,0,3,0,0.113207547,0.006289308
97,25276400,8.25,1007,0.032770606,4,20,3,50,0,2,0,0.068788501,0.004106776
98,-4164819,-3.88,147,0,2,29,1,150,0,1,0,0.156462585,0.040816327
99,-7590727,-2.39,359,0.011142061,3,8,2,700,1,4,0,0.064788732,0.011267606
100,-4172333,-2.27,170,0,3,110,2,0,0,3,0,0,0
101,422674178,16.48,3449,0.10785735,6,160,3,25,1,2,1,0.003249919,0.000974976
