firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
320,-22797059,-20.49,290,0,4,11,6,150,0,2,1,0.068965517,0.103448276
321,4565157,10.03,102,0,3,6,0,0,0,3,0,0.245098039,0
322,3930386,6.92,172,0.069767442,3,24,3,100,0,3,0,0,0.03125
323,-2620256,-4.78,244,0,3,30,1,0,0,3,1,0.020491803,0.090163934
324,178767,0.35,175,0,3,40,3,50,0,2,0,0,0.005714286
325,4280683,9.22,166,0.060240964,3,6,4,430,0,3,0,0.070512821,0.032051282
326,4936766,9.68,168,0,4,23,5,30,0,2,1,0.172619048,0.06547619
327,21960797,3.96,810,0.034567901,3,20,3,150,1,3,1,0.007672634,0.015345269
328,5742447,11.18,183,0.005464481,3,35,0,0,0,1,0,0.318681319,0.032967033
329,-2747721,-11.16,220,0,3,12,3,0,0,2,0,0.054545455,0.05
330,4583777,3.71,142,0,3,53,0,10,0,3,0,0.126760563,0.021126761
331,16396531,12.74,141,0,4,20,0,10,1,2,0,0.007092199,0.035460993
332,3572526,1.74,286,0,3,16,4,0,0,3,0,0.006993007,0
333,7993792,9.31,299,0,3,4,3,30,0,3,0,0,0.016722408
334,11930567,10.01,114,0,4,48,3,500,0,2,0,0.228070175,0.01754386
335,1693812,8.06,100,0,3,10,0,0,0,2,0,0.2,0.01
336,2204018,2.69,123,0,2,14,2,125,0,3,0,0.040650407,0.048780488
337,10356555,19.43,115,0,3,50,3,125,0,2,0,0,0.043478261
338,-2261454,-38.8,153,0.065359477,2,16,3,20,0,1,0,0.097902098,0.076923077
339,-1192877,-3.65,339,0,5,5,0,0,1,4,0,0,0
340,11663978,13.77,162,0,3,52,3,100,0,2,0,0,0.00617284
341,33782263,28.86,120,0.083333333,4,10,3,150,0,2,0,0.109090909,0.009090909
342,7089542,13.79,186,0,5,5,2,200,0,1,0,0.091397849,0.021505376
343,-4605197,-27.41,131,0,3,10,1,100,1,2,0,0.091603053,0
344,-8502475,-35.22,149,0.026845638,3,16,5,200,0,1,0,0.013793103,0.172413793
345,1367570,2.2,173,0,2,35,2,0,0,2,0,0.011560694,0.01734104
346,-5560850,-1.5,301,0.013289037,3,50,4,50,1,1,0,0.074074074,0
347,787272,1.69,150,0.146666667,3,8,3,300,0,1,0,0.140625,0
348,2629659,1.69,130,0,3,54,2,20,0,2,0,0,0.030769231
349,17664593,29.36,240,0.033333333,4,15,3,100,1,2,1,0.099137931,0.030172414
350,2031675,5.16,133,0.127819549,2,12,0,0,0,3,1,0.25862069,0.00862069
351,1176052,3.65,194,0,2,36,2,0,0,3,0,0.087628866,0.103092784
352,2476684,8.08,189,0,2,16,2,100,0,3,0,0.052910053,0.08994709
353,2703989,4.71,148,0,3,39,2,110,0,2,0,0.02027027,0.067567568
354,11625090,22.81,179,0,3,44,3,200,0,2,1,0,0.100558659
355,4018014,8.31,157,0,3,61,3,30,0,1,1,0.25477707,0.23566879
356,578162,1.5,140,0,3,31,4,105,0,3,0,0.242857143,0.057142857
357,2570476,2.84,139,0,3,2,0,100,0,3,0,0,0.561151079
358,1551051,12.42,102,0.009803922,2,26,3,150,0,2,1,0,0.01980198
359,8411168,17.12,105,0.19047619,3,5,5,100,0,3,1,2.094117647,0.294117647
360,4924911,3.48,378,0.021164021,3,60,3,100,1,3,0,0.027027027,0.013513514
361,23850029,22.75,224,0,3,28,5,110,0,2,1,0.133928571,0.21875
362,40272765,3.71,882,0.01814059,4,47,2,150,1,3,0,0.015011547,0.017321016
363,-10815632,-38.34,124,0,4,14,3,100,0,4,0,0.177419355,0
364,31268763,8.71,601,0.510815308,4,24,2,196,0,2,1,0.272108844,0.034013605
365,3733866,4.75,136,0,4,1,0,100,0,3,0,0.036764706,0.036764706
366,18290829,20.49,403,0.151364764,3,15,4,100,0,2,0,0.061403509,0.00877193
367,4587316,4,216,0.180555556,3,26,4,100,0,2,1,0.141242938,0.02259887
368,3052874,2.3,404,0,3,110,2,50,1,3,1,0.212871287,0.017326733
369,367577,0.98,140,0,3,44,1,100,1,2,0,0.242857143,0.035714286
370,7851562,5.47,211,0.047393365,3,40,0,100,1,3,0,0,0.039800995
371,1161892,5.29,133,0.248120301,3,30,3,25,0,1,0,0.07,0
372,4271942,2.73,567,0.195767196,3,21,2,85,1,3,0,0.061403509,0.021929825
373,2418670,6.48,208,0,3,2,2,100,0,2,0,0,0.134615385
374,955481,1.7,130,0,3,9,3,200,1,4,0,0.361538462,0
375,1809152,4.98,133,0,3,36,0,100,0,3,0,0.308270677,0.052631579
376,3510406,7.35,165,0.090909091,4,8,3,10,0,2,0,0.033333333,0.06
377,-12870963,-86.12,129,0.03875969,3,14,6,100,0,2,1,0.056451613,0.274193548
378,668601,2.71,108,0,3,28,0,16,0,2,0,0.101851852,0
379,1639989,5.41,163,0.337423313,4,20,1,100,0,2,0,0.333333333,0.046296296
380,3783619,9.38,179,0,3,48,4,100,0,2,0,0.111731844,0.061452514
381,1257682,3.26,154,0,2,12,2,10,0,3,0,0.084415584,0.337662338
382,4266880,4.55,222,0.081081081,4,8,0,100,0,2,1,0.205882353,0.039215686
383,1061302,3.99,110,0,2,17,3,5,0,1,1,0.127272727,0.090909091
384,1579104,6.06,109,0.183486239,3,30,0,0,0,3,1,0.134831461,0.202247191
385,713249,2.2,123,0,3,10,0,0,0,2,0,0.016260163,0.040650407
386,390204,2.51,100,0,3,20,3,0,0,2,0,0.25,0.04
387,6742396,16.74,321,0.342679128,3,4,6,0,0,1,0,0.037914692,0
388,2756622,4.33,249,0,5,31,2,100,0,1,1,0.020080321,0.060240964
389,772134,8.49,136,0.066176471,2,42,1,110,0,3,0,0.692913386,0
390,1311232,5.31,162,0,3,122,2,2,0,1,0,0,0.00617284
391,566962,1.61,175,0,3,20,2,50,1,2,0,0.04,0
392,6111420,11.7,176,0,4,8,4,2,0,1,0,0,0.090909091
393,-360012,-3.52,103,0,2,16,1,100,0,2,1,0,0.097087379
394,-11046186,-5.8,319,0.021943574,5,16,3,125,1,2,0,0.157051282,0.022435897
395,-629879,-0.66,177,0,3,34,0,100,1,2,0,0.02259887,0.13559322
396,1271070,2.57,477,0,3,16,0,100,0,2,0,0.023060797,0.020964361
397,2022523,4.71,111,0,3,13,2,50,0,3,0,0.09009009,0.036036036
398,-1051487,-1.13,230,0.043478261,2,50,3,100,0,1,1,0,0.136363636
399,-3328295,-17,114,0,3,32,3,0,0,3,0,0.026315789,0.026315789
400,-1224320,-1.29,136,0.007352941,3,24,1,100,1,4,0,0.148148148,0
401,-2549606,-4.98,348,0,4,11,1,0,1,4,0,0.112068966,0.017241379
402,6207962,5.35,139,0,4,18,5,15,0,2,0,0.050359712,0.014388489
403,2979242,4.85,140,0,2,12,2,70,0,3,1,0.028571429,0.064285714
404,14918436,6.03,514,0.122568093,4,100,2,1,0,1,0,0.075388027,0.022172949
405,6983867,18.39,116,0,3,16,1,150,0,3,1,0.086206897,0.051724138
406,2154868,3.06,260,0.023076923,3,30,6,1,1,2,0,0.224409449,0.019685039
407,-5927630,-10.29,183,0,2,5,6,0,0,2,0,0.027322404,0.245901639
408,-4850808,-10.7,135,0.074074074,4,20,3,30,0,3,0,0.128,0.12
409,25258040,25.1,355,0,3,5,2,200,0,1,1,0.03943662,0.202816901
410,693896,1.69,141,0.191489362,2,3,2,100,0,3,0,0.140350877,0.122807018
411,807713,2.87,131,0,4,9,2,0,0,2,0,0.022900763,0.053435115
412,3450091,7.06,171,0,3,48,2,100,0,2,0,0.16374269,0.175438596
413,564434,1.41,196,0.040816327,2,28,2,0,0,1,0,0.053191489,0.021276596
414,3902267,14.53,170,0.411764706,3,30,1,50,0,1,0,0.04,0.03
415,-3370823,-11.08,139,0,3,8,0,0,0,2,0,0.050359712,0.129496403
416,20430203,38.82,183,0.174863388,4,5,2,250,0,2,0,0.066225166,0.298013245
417,2726406,7.22,157,0,3,12,4,100,0,2,1,0.840764331,0.031847134
418,6982279,21.32,269,0.605947955,3,3,0,0,0,2,1,0,0.094339623
419,-9823657,-40.42,145,0,3,20,0,0,0,3,0,0.062068966,0.082758621
420,9715681,9.84,210,0,4,32,2,200,0,2,0,0.19047619,0.014285714
421,7166814,20.49,262,0.370229008,3,5,0,0,0,2,0,0.218181818,0
422,-1596209,-4.84,193,0.29015544,3,22,6,10,0,1,0,0.321167883,0
423,151068,1.02,196,0,3,27,4,0,0,3,0,0.12244898,0.117346939
424,7118637,8.46,220,0.054545455,3,12,0,100,0,2,0,0.028846154,0.355769231
425,10718306,23.55,120,0,3,5,0,100,0,2,0,0,0.041666667
426,7646823,20.73,120,0,3,25,1,10,0,1,0,0.083333333,0
427,337852,1.63,120,0,3,24,0,100,0,2,0,0.066666667,0.416666667
428,-5806367,-24.84,182,0,3,10,3,0,0,2,0,0.065934066,0.148351648
429,23224108,6.82,329,0.024316109,3,12,3,100,1,3,0,0.00623053,0.018691589
430,-2000551,-15.2,104,0,3,5,3,0,0,2,0,0.326923077,0.076923077
431,2444711,3.11,199,0.060301508,3,20,0,1,1,1,1,0.005347594,0.053475936
432,2602562,3.3,209,0.023923445,3,10,2,115,0,3,1,0.137254902,0.034313725
433,6669055,11.63,282,0,3,40,3,120,0,1,1,0.042553191,0.141843972
434,878178,3.44,116,0,3,16,4,3,0,3,1,0,0.051724138
435,1110969,0.72,235,0.046808511,3,26,1,100,1,2,1,0.205357143,0.026785714
436,941220,3.87,186,0,2,9,5,50,0,3,0,0.123655914,0
437,-1231119,-4.04,140,0,2,13,0,15,0,3,0,0.264285714,0
438,7076829,3.8,316,0,3,38,2,24,0,1,0,0.079113924,0.025316456
439,3150305,4.97,137,0,3,5,0,300,0,3,1,0.00729927,0.255474453
440,361268,1.38,115,0,4,29,5,105,0,3,1,0.2,0.147826087
441,14590759,3.82,245,0.481632653,3,30,2,100,0,1,0,0.047244094,0.015748031
442,3220455,7.38,153,0,3,20,0,0,0,3,1,0.130718954,0.039215686
443,-1887068,-13.73,190,0.468421053,3,42,3,0,0,2,0,0.03960396,0
444,9326002,2.24,125,0,4,1,0,200,0,3,0,0.344,0.28
445,425170,0.15,332,0.054216867,3,15,4,10,0,3,0,0.054140127,0.01910828
446,7297615,8.84,980,0.56122449,3,16,4,130,0,3,0,0.176744186,0.058139535
447,1528001,3.76,456,0.078947368,2,20,0,50,0,2,0,0.142857143,0.171428571
448,-4455996,-2.77,675,0,3,56,3,150,0,2,0,0.022222222,0.008888889
449,-683601,-0.88,647,0.00618238,5,76,2,50,0,2,1,0.276827372,0.048211509
450,1811397,6.86,404,0.034653465,3,2,0,0,0,2,0,0.456410256,0.102564103
451,-13226151,-37.93,604,0.713576159,4,32,3,0,1,2,0,0,0.040462428
452,7258631,7.96,348,0,3,19,4,120,1,2,0,0.117816092,0.020114943
453,6012797,6.79,319,0.037617555,3,2,0,105,0,3,1,0.185667752,0.003257329
454,8661432,4.02,494,0,5,28,4,0,0,2,0,0.010121457,0.022267206
455,-11728446,-14.86,321,0,3,2,1,0,0,4,0,0.046728972,0
456,4560728,4.41,681,0.227606461,2,24,3,0,0,2,0,0.041825095,0
457,6604200,16.43,141,0.014184397,3,16,3,50,0,1,1,0,0.021582734
458,3551894,6.18,170,0.029411765,3,24,2,5,0,3,1,0.090909091,0.139393939
459,319580,1.61,162,0,3,317,0,0,0,2,0,0.030864198,0.012345679
460,550628,0.64,484,0.433884298,3,4,0,0,0,3,0,0.04379562,0.003649635
461,50431747,17.32,292,0,3,18,4,100,0,2,0,0.017123288,0.020547945
462,-531376,-2.41,124,0,3,14,4,5,0,1,1,0.596774194,0.169354839
463,3528949,7.19,102,0,6,19,2,100,1,2,0,0.460784314,0.019607843
464,403502,1.21,119,0,4,36,3,100,0,2,1,0.193277311,0
465,2129736,2.88,113,0.10619469,4,2,4,0,0,3,0,0.00990099,0
466,6234171,10.76,102,0.009803922,2,45,2,0,0,3,0,0.04950495,0.01980198
467,9219395,11.66,155,0.064516129,2,15,2,10,0,3,0,0.062068966,0.144827586
468,1584798,2.44,168,0,3,30,2,0,0,2,0,0.208333333,0.053571429
469,-7604860,-42.89,130,0.015384615,5,220,4,0,0,2,0,0.015625,0.015625
470,3384889,8.89,191,0.267015707,2,20,0,0,1,2,0,0.064285714,0.164285714
